SKU,Type,Name,image_count,exact,suffix,ambiguous_suffix,unmatched,recommended_images,unmatched_expected
ASGARD-AB8,variable,"Asgard 8"" Angle Box",2,0,0,2,0,,asgard-8-inch-angle-box-with-extendable-handle-4I-SJ80-1WRW-01.webp|asgard-8-inch-angle-box-with-fixed-handle-4K-S6F6-8HQ6-01.webp
4I-SJ80-1WRW,variation,"Asgard 8"" Angle Box with Extendable Handle (4I-SJ80-1WRW)",1,0,0,1,0,,asgard-8-inch-angle-box-with-extendable-handle-4I-SJ80-1WRW-01.webp
4K-S6F6-8HQ6,variation,"Asgard 8"" Angle Box with Fixed Handle (4K-S6F6-8HQ6)",1,0,0,1,0,,asgard-8-inch-angle-box-with-fixed-handle-4K-S6F6-8HQ6-01.webp
9R-PIR7-OTNL,simple,Asgard Full Taping Tool Set - PRO GRADE (10/12 Standard Full Set) (9R-PIR7-OTNL),1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-full-taping-tool-set-pro-grade-10-12-standard-full-set-9R-PIR7-OTNL-01.webp,
AGFLATEXT,simple,"Asgard 10"" and 12"" Flat Box Combo Set (AGFLATEXT)",2,0,2,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-10-and-12-flat-box-combo-set-AGFLATEXT-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-10-and-12-flat-box-combo-set-AGFLATEXT-02.webp,
AH-AD,variable,Asgard Angle Head,3,0,3,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-angle-head-AH-AD-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-angle-head-AH-AD-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-angle-head-AH-AD-01.webp,
AH25-AD,variation,"Asgard 2.5"" Angle Head (AH25-AD)",1,0,0,1,0,,asgard-2-5-inch-angle-head-AH25-AD-01.webp
AH30-AD,variation,"Asgard 3"" Angle Head (AH30-AD)",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-3-angle-head-AH30-AD-01.webp,
AH35-AD,variation,"Asgard 3.5"" Angle Head (AH35-AD)",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-3-5-angle-head-AH35-AD-01.webp,
BBH-AD,simple,Asgard Brakeless Box Handle (BBH-AD),2,0,0,2,0,,asgard-brakeless-box-handle-BBH-AD-01.webp|asgard-brakeless-box-handle-BBH-AD-02.webp
CA08-AD,simple,"Asgard 8"" Drywall Angle Box (CA08-AD)",6,0,6,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-8-drywall-angle-box-CA08-AD-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-8-drywall-angle-box-CA08-AD-02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-8-drywall-angle-box-CA08-AD-03.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-8-drywall-angle-box-CA08-AD-04.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-8-drywall-angle-box-CA08-AD-05.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-8-drywall-angle-box-CA08-AD-06.webp,
CFA-AD,simple,Asgard Angle Head Ball Adapter (CFA-AD),3,0,0,3,0,,asgard-angle-head-ball-adapter-CFA-AD-01.webp|asgard-angle-head-ball-adapter-CFA-AD-02.webp|asgard-angle-head-ball-adapter-CFA-AD-03.webp
CR01-AD,simple,Asgard Inside Corner Roller (CR01-AD),4,0,0,4,0,,asgard-inside-corner-roller-CR01-AD-01.webp|asgard-inside-corner-roller-CR01-AD-02.webp|asgard-inside-corner-roller-CR01-AD-03.webp|asgard-inside-corner-roller-CR01-AD-04.webp
EHC10-AD,simple,"Asgard 10"" MaxxBox Finishing Box (EHC10-AD)",4,0,4,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-10-maxxbox-finishing-box-EHC10-AD-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-10-maxxbox-finishing-box-EHC10-AD-02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-10-maxxbox-finishing-box-EHC10-AD-03.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-10-maxxbox-finishing-box-EHC10-AD-04.webp,
EZFB-AD,variable,Asgard Flat Box,3,0,3,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-flat-box-EZFB-AD-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-flat-box-EZFB-AD-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-flat-box-EZFB-AD-01.webp,
EZ07-AD,variation,"Asgard 7"" Flat Box (EZ07-AD)",1,0,0,1,0,,asgard-7-inch-flat-box-EZ07-AD-01.webp
EZ10-AD,variation,"Asgard 10"" Flat Box (EZ10-AD)",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-10-flat-box-EZ10-AD-01.webp,
EZ12-AD,variation,"Asgard 12"" Flat Box (EZ12-AD)",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-12-flat-box-EZ12-AD-01.webp,
FA01-AD,simple,Asgard Box Filler Adapter (FA01-AD),2,0,0,2,0,,asgard-box-filler-adapter-FA01-AD-01.webp|asgard-box-filler-adapter-FA01-AD-02.webp
FBHE-AD,simple,Asgard Extendable Flat Box Handle (FBHE-AD),2,0,0,2,0,,asgard-extendable-flat-box-handle-FBHE-AD-01.webp|asgard-extendable-flat-box-handle-FBHE-AD-02.webp
FH-AD,simple,Asgard Fiberglass Handle (FH-AD),2,0,0,2,0,,asgard-fiberglass-handle-FH-AD-01.webp|asgard-fiberglass-handle-FH-AD-02.webp
GN01-AD,simple,Asgard Gooseneck (GN01-AD),2,0,0,2,0,,asgard-gooseneck-GN01-AD-01.webp|asgard-gooseneck-GN01-AD-02.webp
HU-OI6G-88Y4,simple,Asgard Starter Set (HU-OI6G-88Y4),1,0,0,0,1,,asgard-starter-set-HU-OI6G-88Y4-01.webp
LP01-AD,simple,Asgard Loading Pump (LP01-AD),4,0,0,4,0,,asgard-loading-pump-LP01-AD-01.webp|asgard-loading-pump-LP01-AD-02.webp|asgard-loading-pump-LP01-AD-03.webp|asgard-loading-pump-LP01-AD-04.webp
ASGARD-NS,variable,Asgard EasyClean® Nail Spotter,2,0,0,2,0,,asgard-2-inch-easyclean-nail-spotter-NS02-AD-01.webp|asgard-3-inch-easyclean-nail-spotter-NS03-AD-01.webp
NS02-AD,variation,"Asgard 2"" EasyClean® Nail Spotter (NS02-AD)",1,0,0,1,0,,asgard-2-inch-easyclean-nail-spotter-NS02-AD-01.webp
NS03-AD,variation,"Asgard 3"" EasyClean® Nail Spotter (NS03-AD)",1,0,0,1,0,,asgard-3-inch-easyclean-nail-spotter-NS03-AD-01.webp
PAFB-AD,variable,Asgard Power Assist Finishing Box,3,0,3,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-power-assist-finishing-box-PAFB-AD-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-power-assist-finishing-box-PAFB-AD-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-power-assist-finishing-box-PAFB-AD-01.webp,
PA07-AD,variation,"Asgard 7"" Power Assist Finishing Box (PA07-AD)",1,0,0,1,0,,asgard-7-inch-power-assist-finishing-box-PA07-AD-01.webp
PA10-AD,variation,"Asgard 10"" Power Assist Finishing Box (PA10-AD)",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-10-power-assist-finishing-box-PA10-AD-01.webp,
PA12-AD,variation,"Asgard 12"" Power Assist Finishing Box (PA12-AD)",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-12-power-assist-finishing-box-PA12-AD-01.webp,
TF-DVKN-31Q3,simple,Asgard Taping Set (TF-DVKN-31Q3),1,0,0,0,1,,asgard-taping-set-TF-DVKN-31Q3-01.webp
XH-AD,simple,Asgard Extendable Support Handle (XH-AD),2,0,0,2,0,,asgard-extendable-support-handle-XH-AD-01.webp|asgard-extendable-support-handle-XH-AD-02.webp
3WTDF,simple,"Columbia 3"" Widetrack Direct Corner Flusher",2,0,0,2,0,,columbia-3-inch-widetrack-direct-corner-flusher-3WTDF-01.webp|columbia-3-inch-widetrack-direct-corner-flusher-3WTDF-02.webp
3WTSF,simple,"Columbia 3"" Standard Corner Flusher",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-3-standard-corner-flusher-3WTSF-01.webp,
AH4,simple,Columbia Angle Head Side Blade,1,0,0,0,1,,columbia-angle-head-side-blade-AH4-01.webp
AH6A,simple,Columbia Angle Head Ball Holder Release Clip,2,0,0,0,2,,columbia-angle-head-ball-holder-release-clip-AH6A-01.webp|columbia-angle-head-ball-holder-release-clip-AH6A-02.webp
AH8,simple,Columbia Angle Head Retainer Clip,1,0,0,0,1,,columbia-angle-head-retainer-clip-AH8-01.webp
AH9,simple,Columbia Angle Head Retainer Clip,2,0,0,0,2,,columbia-angle-head-retainer-clip-AH9-01.webp|columbia-angle-head-retainer-clip-AH9-02.webp
AHA,simple,Columbia Anglehead Adaptor,4,0,0,0,4,,columbia-anglehead-adaptor-AHA-01.webp|columbia-anglehead-adaptor-AHA-02.webp|columbia-anglehead-adaptor-AHA-03.webp|columbia-anglehead-adaptor-AHA-04.webp
ANGLEHEADMAINTENANCEKITS,simple,Anglehead Maintenance Kits,1,0,0,0,1,,columbia-anglehead-maintenance-kits-ANGLEHEADMAINTENANCEKITS-01.webp
AUTOMATICFLATBOXES,simple,Automatic Flat Boxes,2,0,0,0,2,,columbia-automatic-flat-boxes-AUTOMATICFLATBOXES-01.webp|columbia-automatic-flat-boxes-AUTOMATICFLATBOXES-02.webp
AUTOMATICTAPERMAINTENANCEKITS,simple,Automatic Taper Maintenance Kits,1,0,0,0,1,,columbia-automatic-taper-maintenance-kits-AUTOMATICTAPERMAINTENANCEKITS-01.webp
BF,simple,Columbia Box Filler,3,0,1,0,2,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/platinum-drywall-tools-box-filler-attachment-PT-BF-01.webp,columbia-box-filler-BF-02.webp|columbia-box-filler-BF-03.webp
BH06,simple,Columbia Box Handle Hinge Pin (180 Grip),2,0,2,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-box-handle-hinge-pin-180-grip-BH06-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-box-handle-hinge-pin-180-grip-BH06-02.webp,
BH07,simple,Columbia Box Handle Cam Follower,2,0,0,0,2,,columbia-box-handle-cam-follower-BH07-01.webp|columbia-box-handle-cam-follower-BH07-02.webp
BH1,simple,Columbia Mounting Plate (180 Grip),1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-mounting-plate-180-grip-BH1-01.webp,
BH2,simple,Columbia Box Handle Plate (180 Grip),1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-box-handle-plate-180-grip-BH2-01.webp,
BH4,simple,Columbia Lower Brake Lever,2,0,0,0,2,,columbia-lower-brake-lever-BH4-01.webp|columbia-lower-brake-lever-BH4-02.webp
BH5,simple,Columbia Upper Mounting Bracket (180 Grip),1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-upper-mounting-bracket-180-grip-BH5-01.webp,
