part_number,product_name,price,full_image_url,product_url
1,Leg Band With Pad,8.80,https://durastilt.com/wp-content/uploads/2018/10/Leg-Band-With-Pad.webp,https://durastilt.com/product/part-1/
2,Part #2,1.93,https://durastilt.com/wp-content/uploads/2018/10/Leg-Band-Spacer.webp,https://durastilt.com/product/part-2/
3,Part #3,0.50,https://durastilt.com/wp-content/uploads/2018/10/2-Screw-W-Nut.webp,https://durastilt.com/product/part-3/
4,Part #4,8.75,https://durastilt.com/wp-content/uploads/2018/09/Part-Pack-7204.webp,https://durastilt.com/product/part-4/
5.1,Upper Strut Tube (Short),10.73,https://durastilt.com/wp-content/uploads/2018/10/Upper-Strut-Tube-Short.webp,https://durastilt.com/product/part-5-1/
5.2,Part #5.2,11.60,https://durastilt.com/wp-content/uploads/2018/10/Upper-Strut-Tube-Short.webp,https://durastilt.com/product/part-5-2/
5.6,1 1/8 O.D. UPPER UNISTRUT TUBE,10.73,https://durastilt.com/wp-content/uploads/2022/07/UPPER-UNISTRUT-TUBE-MIN.webp,https://durastilt.com/product/part-5-6/
6,Part #6,0.36,https://durastilt.com/wp-content/uploads/2018/10/10-X-1-2-Screw-W-Nut.webp,https://durastilt.com/product/part-6/
7,Part #7,8.34,https://durastilt.com/wp-content/uploads/2018/10/Arch-Strap-W-Buckle.webp,https://durastilt.com/product/part-7/
8,Toe Strap W/Buckle,8.22,https://durastilt.com/wp-content/uploads/2018/10/Toe-Strap-W-Buckle.webp,https://durastilt.com/product/part-8/
9,Part #9,16.34,https://durastilt.com/wp-content/uploads/2018/10/Floor-Plate-Only.webp,https://durastilt.com/product/part-9/
10,Adjustable Heel Bracket,6.85,https://durastilt.com/wp-content/uploads/2018/10/Adj-Heel-Piece.webp,https://durastilt.com/product/part-10/
11,Part #11,0.48,https://durastilt.com/wp-content/uploads/2018/10/Nylon-Leg-Bearing.webp,https://durastilt.com/product/part-11/
12,Part #12,0.21,https://durastilt.com/wp-content/uploads/2018/10/Flat-Washer.webp,https://durastilt.com/product/part-12/
13,Part #13,0.40,https://durastilt.com/wp-content/uploads/2018/10/1-4-X-20-Locknut.webp,https://durastilt.com/product/part-13/
14,Part #14,0.21,https://durastilt.com/wp-content/uploads/2018/10/Standard-Nut.webp,https://durastilt.com/product/part-14/
15,Part #15,3.28,https://durastilt.com/wp-content/uploads/2018/10/Spring-Adjuster.webp,https://durastilt.com/product/part-15/
16,Part #16,3.18,https://durastilt.com/wp-content/uploads/2018/10/Upper-Coil-Spring.webp,https://durastilt.com/product/part-16/
16.1,Part #16.1,3.21,https://durastilt.com/wp-content/uploads/2018/10/Upper-Coil-SpringD-24.webp,https://durastilt.com/product/part-16-1/
17.14,Part #17.14,15.40,https://durastilt.com/wp-content/uploads/2018/10/Forward-Leg-Assemble-F-14.webp,https://durastilt.com/product/part-17-14/
17.16,Part #17.16,15.68,https://durastilt.com/wp-content/uploads/2018/10/Forward-Leg-Assembly-F-16.webp,https://durastilt.com/product/part-17-16/
17.18,Part #17.18,15.95,https://durastilt.com/wp-content/uploads/2018/10/Forward-Leb-Assembly-F-18.webp,https://durastilt.com/product/part-17-18/
17.20,Part #17.20,17.55,https://durastilt.com/wp-content/uploads/2018/10/Forward-Leg-Assembly-F-20.webp,https://durastilt.com/product/part-17-20/
17.22,Part #17.22,17.71,https://durastilt.com/wp-content/uploads/2018/10/Forward-Leg-Assembly-F-22.webp,https://durastilt.com/product/part-17-22/
17.24,Part #17.24,18.15,https://durastilt.com/wp-content/uploads/2018/10/Forward-Leg-Assembly-F-24.webp,https://durastilt.com/product/part-17-24/
18,Part #18,0.54,https://durastilt.com/wp-content/uploads/2018/10/Nylon-Spring-Bearing.webp,https://durastilt.com/product/part-18/
19,Part #19,0.31,https://durastilt.com/wp-content/uploads/2018/10/8-Self-Threading-Screw.webp,https://durastilt.com/product/part-19/
20,Part #20,3.25,https://durastilt.com/wp-content/uploads/2018/10/Spring-Divider.webp,https://durastilt.com/product/part-20/
21,Part #21,0.46,https://durastilt.com/wp-content/uploads/2018/10/Leg-Band-Support-Washer.webp,https://durastilt.com/product/part-21/
22,Part #22,2.86,https://durastilt.com/wp-content/uploads/2018/10/7-7-8-Spring-Rod.webp,https://durastilt.com/product/part-22/
23.1,Part #23.1,10.72,https://durastilt.com/wp-content/uploads/2018/10/Lower-Strut-Tube-Short.webp,https://durastilt.com/product/part-23-1/
23.2,Part #23.2,12.06,https://durastilt.com/wp-content/uploads/2018/10/Lower-Strut-Tube-Medium.webp,https://durastilt.com/product/part-23-2/
23.3,Part #23.3,12.29,https://durastilt.com/wp-content/uploads/2018/10/Lower-Strut-Tube-Long.webp,https://durastilt.com/product/part-23-3/
23.6,1” O.D. LOWER UNISTRUT TUBE,13.77,https://durastilt.com/wp-content/uploads/2022/07/LOWER-UNISTRUT-TUBE-MIN.webp,https://durastilt.com/product/part-23-6/
24,Part #24,0.68,https://durastilt.com/wp-content/uploads/2018/10/1-4-20-X-1-2-Bolt.webp,https://durastilt.com/product/part-24/
25.14,Part #25.14,15.68,https://durastilt.com/wp-content/uploads/2018/10/Rear-Leg-Assembly-For.webp,https://durastilt.com/product/part-25-14/
25.16,Part #25.16,15.95,https://durastilt.com/wp-content/uploads/2018/10/Rear-Leg-Assembly.webp,https://durastilt.com/product/part-25-16/
25.18,Part #25.18,16.23,https://durastilt.com/wp-content/uploads/2018/10/Rear-Leg-Assembly-For-1-1.webp,https://durastilt.com/product/part-25-18/
25.20,Part #25.20,17.38,https://durastilt.com/wp-content/uploads/2018/10/Rear-Leg-Assembly-For-2.webp,https://durastilt.com/product/part-25-20/
25.22,Part #25.22,17.82,https://durastilt.com/wp-content/uploads/2018/10/Rear-Leg-Assembly-2.webp,https://durastilt.com/product/part-25-22/
25.24,Part #25.24,18.15,https://durastilt.com/wp-content/uploads/2018/10/Rear-Leg-Assembly-For-3.webp,https://durastilt.com/product/part-25-24/
26.1,Part #26.1,16.34,https://durastilt.com/wp-content/uploads/2018/10/Floor-Plate-Only.webp,https://durastilt.com/product/part-26-1/
26.2,Part #26.2,27.34,https://durastilt.com/wp-content/uploads/2018/10/Floor-Plate-W-Soles.webp,https://durastilt.com/product/part-26-2/
27,Part #27,0.97,https://durastilt.com/wp-content/uploads/2018/10/3-1-8-Cap-Screw.webp,https://durastilt.com/product/part-27/
