manufacturer,part_number,product_name,description_text,features,image_urls
TapeTech,88TTE,41 in - 63 in TapeTech XTender Finishing Box Handle,"The TapeTech XTender® Finishing Box Handle attaches to the EasyClean®, EasyClean® High Capacity or Power Assist® Finishing Boxes and provides control to cleanly sweep the boxes off the joint for a perfect finish. The XTender® is the strongest extendable finishing box handle in the industry and adjusts from 41"" to 63"" for increased reach and versatility. Features Extends for greater reach with all TapeTech finishing boxes Anodized aluminum construction Extends from 41"" to 63""","Extends for greater reach with all TapeTech finishing boxes | Anodized aluminum construction | Extends from 41"" to 63""",https://s3.amazonaws.com/gmscom/master/media-common/product/TTT88TTE_M.jpg
TapeTech,EZ12TT,12 in TapeTech EasyClean Finishing Box,"The TapeTech EasyClean® Finishing Box automatically dispenses the proper amount of joint compound and feathers the edges of butt joints and flat joints in one pass. The EasyClean Finishing Box helps produce professional results every time. The adjustable crown setting dial allows the user to easily adjust the amount of joint compound applied over the tape on the drywall joint. This is very helpful when progressing from the first finishing application to the second or third application. The pivoting axle helps to compensate when the drywall or sheetrock on one side of the joint is higher than the other side of the joint. The new EasyRoll™ wheel system allows you to expertly finish all types of outside corner bead up to two times faster than finishing by hand. EasyRoll™ wheels work with all types of outside corner bead including metal, paper-faced, vinyl and bullnose. EasyRoll™ wheels provide a shoulder to guide the finishing box along the corner bead without after-market attachments or damage to the axle. The shoulder of the EasyRoll wheels is more than three times wider than after-market products, making it easier to place, and keep, the finishing box on the corner bead. And EasyRoll™ wheels are engineered and designed to be perfectly aligned with the finishing blade, eliminating the need to tilt the finishing box like you must with common after-market wheel systems. EasyRoll™ wheels do not affect how the finishing box runs on standard flat joints. All TapeTech finishing boxes now feature EasyRoll™ wheels for finishing outside corner bead. Features Applies first coat of joint compound to embed tape at butt joints and flat joints on walls and ceilings Finishes butt joints and flat joints on walls and ceilings Feathers edges of butt joints and flat joints",Applies first coat of joint compound to embed tape at butt joints and flat joints on walls and ceilings | Finishes butt joints and flat joints on walls and ceilings | Feathers edges of butt joints and flat joints,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT30TTX_M.jpg
TapeTech,EZ10TT,"10"" EasyClean Finishing Box","The TapeTech EasyClean Finishing Box automatically dispenses the proper amount of joint compound and feathers the edges of butt joints and flat joints in one pass. The EasyClean Finishing Box helps produce professional results every time. The adjustable crown setting dial allows the user to easily adjust the amount of joint compound applied over the tape on the drywall joint. This is very helpful when progressing from the first finishing application to the second or third application. The pivoting axle helps to compensate when the drywall or sheetrock on one side of the joint is higher than the other side of the joint. The new EasyRoll wheel system allows you to expertly finish all types of outside corner bead up to two times faster than finishing by hand. EasyRoll wheels work with all types of outside corner bead including metal, paper-faced, vinyl and bullnose. EasyRoll wheels provide a shoulder to guide the finishing box along the corner bead without after-market attachments or damage to the axle. The shoulder of the EasyRoll wheels is more than three times wider than after-market products, making it easier to place, and keep, the finishing box on the corner bead. And EasyRoll wheels are engineered and designed to be perfectly aligned with the finishing blade, eliminating the need to tilt the finishing box like you must with common after-market wheel systems. EasyRoll wheels do not affect how the finishing box runs on standard flat joints. All TapeTech finishing boxes now feature EasyRoll wheels for finishing outside corner bead. Applies first coat of joint compound to embed tape at butt joints and flat joints on walls and ceilings Finishes butt joints and flat joints on walls and ceilings Feathers edges of butt joints and flat joints",Applies first coat of joint compound to embed tape at butt joints and flat joints on walls and ceilings | Finishes butt joints and flat joints on walls and ceilings | Feathers edges of butt joints and flat joints,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT25TTX_M.jpg
TapeTech,76TT,TapeTech EasyClean Loading Pump,"The TapeTech 76TT EasyClean® Loading Pump combines reliability with innovation. The 76TT features the slim tube design preferred by professional finishers and robust construction for dependable performance and long life. The TapeTech 76TT Loading Pump has a redesigned head and a new Twist-lock foot valve that provides secure attachment and easy removal for cleaning and maintenance. And the 76TT does not require a paper gasket for the filler adapter or gooseneck due to an innovative, integrated O-Ring that provides a terrific seal with fewer headaches from lost, worn or damaged paper gaskets. The 76TT pump accepts the standard 85T gooseneck and 90T filler adapter. Features Fills Automatic Tapers (with 85T gooseneck) Fills finishing boxes, MudRunner®, corner applicators and nail spotters (with 90T filler adapter)","Fills Automatic Tapers (with 85T gooseneck) | Fills finishing boxes, MudRunner®, corner applicators and nail spotters (with 90T filler adapter)",https://s3.amazonaws.com/gmscom/master/media-common/product/TTT76TT_M.jpg
TapeTech,XHTT,TapeTech Extension Handle,"TapeTech is the first company to introduce an interchangeable handle system that allows one support handle to be used with every tool. Whether you use standard, fixed length fiberglass handles or aluminum extension support handles, you’ll need just one base handle. The base handle for the fiberglass system is model FHTT. The base handle for the extension handle system is model XHTT. The base handle fits the corner roller, corner applicator and nail spotter without any adapters. The heavy duty, easy-to-change adapter (CFA-TT) connects the new handles to the corner finishers, and the new, optimal diameter makes TapeTech handles the most ergonomic in the industry. Both base handles feature a D-shaped fitting that securely positions the handle in the Corner Applicator and positively prevents the tool from rotating during use. Note: If you use your current Nail Spotters with the new handle system you will need to mount the handle in the back holes of the tabs on the Nail Spotter.",,https://s3.amazonaws.com/gmscom/master/media-common/product/TTTXHTT_M.jpg
TapeTech,90TT,TapeTech Filler Adapter,"The TapeTech 90T Filler Adapter attaches to the TapeTech 72TT or 76TT EasyClean™ Pumps to fill Corner Applicators, Nail Spotters and EasyClean™, EasyClean™ High Capacity or Power Assist™ Finishing boxes with joint compound. Use with gasket 700049 (not included).",,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT90TT_M.jpg
TapeTech,07TT,TapeTech EasyClean Automatic Taper,"The TapeTech 07TT EasyClean® Automatic Taper redefines quality, durability and value. The Taper simultaneously applies tape and the correct amount of joint compound for all drywall joints - dramatically improving taping efficiency. The EasyClean® cover plate can be removed with just a quarter turn for quick and easy cleaning or service. The stainless steel side plates, along with a hard anodized push rod and cable drum, prevent corrosion and provide long life. The adjustable brake allows you to set and maintain the desired tension on the main wheels. The control tube has enclosed rollers to provide the most comfortable grip while protecting your hands from the pinching that can occur with other brands. The integrated hook on the spool keeper lets you hang the taper from framing or scaffolding. The smaller diameter of the new tube protector provides maximum comfort and requires no tools to remove for easy cleaning and cable replacement. All these features make the new 07TT Taper the best choice for professional drywall finishers. Features Applies joint compound and tape to butt joints and flat joints on walls and ceilings Applies joint compound and tape to internal corners on walls and ceilings Easy clean cover plate Stainless steel side plates Hard anodized push rod and cable drum Adjustable brake Enclosed rollers on control tube Integrated hook Smaller diameter tube protector Includes (1) 050081F Extra spring (1) 054209F Extra main cable assembly (1) 056133 Extra pyramid blade (1) 059049 Extra gooser needle",Applies joint compound and tape to butt joints and flat joints on walls and ceilings | Applies joint compound and tape to internal corners on walls and ceilings | Easy clean cover plate | Stainless steel side plates | Hard anodized push rod and cable drum | Adjustable brake | Enclosed rollers on control tube | Integrated hook | Smaller diameter tube protector | (1) 050081F Extra spring | (1) 054209F Extra main cable assembly | (1) 056133 Extra pyramid blade | (1) 059049 Extra gooser needle,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT07TT_M.jpg
TapeTech,502H,TapeTech #2 Pump Repair Kit,"For repair and maintenance of the 72TT and 73TT pumps. Includes (1) 700005 ""U"" cup (1) 720009 Piston cup [replaces 700009] (2) 700010F Valve discs (1) 700029 Bushing liner","(1) 700005 ""U"" cup | (1) 720009 Piston cup [replaces 700009] | (2) 700010F Valve discs | (1) 700029 Bushing liner",https://s3.amazonaws.com/gmscom/master/media-common/product/TTT502_M.jpg
TapeTech,501C12,12 in TapeTech Flat Box Repair Kit,"For repair and maintenance of the TapeTech 20TTX flat finishing box and T20CF Bazooka CFS 12"" finishing box. Includes (3) 300001 12"" Stainless steel blades (2) 209006 Skid covers, right side (2) 209039 Skid covers, left side","(3) 300001 12"" Stainless steel blades | (2) 209006 Skid covers, right side | (2) 209039 Skid covers, left side",https://s3.amazonaws.com/gmscom/master/media-common/product/TTT501C10_M.jpg
TapeTech,15TTEWOH,TapeTech Inside Corner Roller w/o Handle,The TapeTech Inside Corner Roller quickly and accurately embeds the tape firmly into the internal corners of the drywall. Use the corner roller immediately after applying joint tape to the internal corner with the automatic taper. The corner roller forces excess joint compound out from behind the tape in preparation for the corner finisher. The TapeTech Corner Roller features stainless steel rollers for crisp edges and long life. Features Embeds tape into compound at inside corners of walls and ceilings Forces excess joint compound out of corner in preparation for corner finisher/flusher to smooth,Embeds tape into compound at inside corners of walls and ceilings | Forces excess joint compound out of corner in preparation for corner finisher/flusher to smooth,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT15TTEWOH_M.jpg
TapeTech,48TT,3 in TapeTech EasyRoll Adjustable Corner Finisher,"The TapeTech EasyRoll Adjustable Corner Finisher is used to perfectly feather both joint compound edges of internal corners in one pass. The Corner Finishers can be used for wall-to-wall internal corners or wall-to-ceiling corners. The adjustable feature of this tool refers to the ability to control the amount of spring pressure by engaging or disengaging one set of tension springs on the back of the corner finisher. Corner Finishers, also referred to as Angle Finishers or Angle Heads, are attached to a corner applicator or the 14TT MudRunner to quickly and professionally finish internal drywall corners. EasyRoll Adjustable Corner Finishers have wheels to provide the smoothest action on the wall and are spring loaded to help compensate for slightly imperfect corners. Use with the FHTT Fiberglass Handle or the XHTT Extension Handle – not included. Features Wipes down excess mud in internal corners Embeds inside corner tape on walls and ceilings Finishes inside corners of walls and ceilings Stainless steel frames Patented, positive ball retainer EasyRoll wheels Adjustable springs","Wipes down excess mud in internal corners | Embeds inside corner tape on walls and ceilings | Finishes inside corners of walls and ceilings | Stainless steel frames | Patented, positive ball retainer | EasyRoll wheels | Adjustable springs",https://s3.amazonaws.com/gmscom/master/media-common/product/TTT48TT_M.jpg
TapeTech,501C10,10 in TapeTech Flat Box Repair Kit,"For repair and maintenance of the TapeTech 20TTX flat finishing box and 10"" T20CF Bazooka CFS finishing box. Includes (3) 250001 10"" Stainless steel blades (2) 209006 Skid covers, right side (2) 209039 Skid covers, left side","(3) 250001 10"" Stainless steel blades | (2) 209006 Skid covers, right side | (2) 209039 Skid covers, left side",https://s3.amazonaws.com/gmscom/master/media-common/product/TTT501C10_M.jpg
TapeTech,PFK32TT,"TapeTech 32"" Premium Finishing Knife","Introducing an improved range of premium finishing knives for smoothing joint compound. Featuring a replaceable blade and redesigned grip profile, TapeTech premium finishing knives are the most ergonomic smoothing knives available. The new handle adapter is more robust, provides quick angle adjustment and improved durability. Best Quality AND Best Value, these premium finishing knives offer the best value in the industry. Up to 49% less than other brands, TapeTech makes it possible for every finisher to achieve the best results! Features: Optimal Comfort, Control And Ergonomics Molded Texture Provides Superior Grip Stainless Steel Blade 33% Lighter Than Competitive Brands Blades Are Now Easily To Replaceable 49% Less Than Other Brands","Optimal Comfort, Control And Ergonomics | Molded Texture Provides Superior Grip | Stainless Steel Blade | 33% Lighter Than Competitive Brands | Blades Are Now Easily To Replaceable | 49% Less Than Other Brands",https://s3.amazonaws.com/tswfastcomfiles/product/TTTPFK32TT_M.jpg
