"sku","name","brand","description","features","price","image"
"CFLT","Columbia 4"" Flat Applicator Head","Columbia Taping Tools","Columbia 4"" Flat Applicator Head","These tools glide along the wall leaving the perfect amount of compound on flat surfaces. Machined from a solid piece of billet and then mounted with stainless runners, this tool is built to work. | Features: | Hand made from U.S. aluminum and steel components | Machined in our state of the art facility in Canada","91.93","https://drywalltoolbox.com/brands/Columbia/cflt.webp"
"C1HEXT","Columbia One Extendable Handle 3'-5'","Columbia Taping Tools","The Columbia One Extendable Handle is designed to work with your Columbia products universally. From the Nailspotters and Angle heads to the Rollers and the Corner Boxes, the one system allows you to lighten your load and still utilize all the finishing tools you love.","Our popular Twist Lock Handle is a three stage pole with a brass thread that allows users to easily adjust where the seam falls, creating a more comfortable grip. This handle extends from 3′ to 8′ and is used with the Nail Spotters, all Rollers and the Angle Head Adaptor. | Features: | This handle extends 3′ -8′ | Handmade from U.S. billet aluminum and steel components | Machined in our state of the art facility in Canada | Hard anodized tube","135.19","https://drywalltoolbox.com/brands/Columbia/c1hext.webp"
"ICATW","Columbia Inside 90 Applicator with Wheels","Columbia Taping Tools","The Columbia Inside 90 Applicator is designed to work with a corner box or compound tube. It has 3 holes for mud output and can be used in both directions. The Derlin wheels help the tool run smoothly against the wall surface. The body is made of high-grade aluminum that is CNC machined to provide years of use.","Columbia Two Way Internal Corner Applicators are all machined from solid aluminum billet. They are very accurate and their Delrin wheels glide along the wall. | Features: | Hand made from U.S. aluminum and steel components | Machined in our state of the art facility in Canada","116.80","https://drywalltoolbox.com/brands/Columbia/icatw.webp"
"3CSF","Columbia Combo Flusher","Columbia Taping Tools","Columbia Combo Flushers have redefined angle finishing. They are built from the best materials, but above all, they are each hand ground and checked on a granite plate for perfection. Each one comes with wheels and an allen key for those who prefer not to use them.","Columbia Combo Flushers have redefined angle finishing. They are built from the best materials, but above all, they are each hand ground and checked on a granite plate for perfection. Each one comes with wheels and an allen key for those who prefer not to use them. | Features: | Precision hand ground and set | 4 designs: 2.5″, 3″, 3.5″ & wide track | Hand made from U.S. aluminum and steel components | Machined in our state of the art facility in Canada","163.31","https://drywalltoolbox.com/brands/Columbia/3csf.webp"
"3DF","Columbia 3"" Direct Drywall Corner Flusher","Columbia Taping Tools","Columbia 3"" Direct Corner Flushers have redefined angle finishing. They are built from the best materials, but above all, they are each hand ground and checked on a granite plate for perfection. Each one comes with wheels and an Allen key for those who prefer not to use them.","Columbia Direct Corner Flushers have redefined angle finishing. They are built from the best materials, but above all, they are each hand ground and checked on a granite plate for perfection. Each one comes with wheels and an allen key for those who prefer not to use them. | Features: | Precision hand ground and set | 5 designs: 2.5″, 3″, 3.5″, 4″ and wide track | Wheels come standard | Hand made from U.S. aluminum and steel components | Machined in our state of the art facility in Canada","133.02","https://drywalltoolbox.com/brands/Columbia/3df.webp"
"C1HEXT","Columbia One Extendable Handle 3'-5'","Columbia Taping Tools","The Columbia One Extendable Handle is designed to work with your Columbia products universally. From the Nailspotters and Angle heads to the Rollers and the Corner Boxes, the one system allows you to lighten your load and still utilize all the finishing tools you love.","The Columbia Long Extendible Handle is a 1 and 1/4″ thick design pipe. These handles are durable and extremely long lasting, all while maintaining the comfort and ease of use that you’re used to with the Columbia brand of tools. The Columbia Long Extendible Handle is not only the lightest on the market, but also the strongest, ensuring a long life. | REACHLINE Extendible Handles are perfect when you just need an extra foot, or four. They also work great in smaller spaces when you need a little less length. You can adjust for your working conditions on the fly. | Features: | This handle extends 4′ -8′ | For safety reasons, this handle is not compatible with the Corner Flusher Box | Handmade from U.S. billet aluminum and steel components | Machined in our state of the art facility in Canada | Hard anodized tube | Comfort grips | Thickest, strongest and lightest handle on the market","135.19","https://drywalltoolbox.com/brands/Columbia/c1hext.webp"
"5.5FFB","Columbia 5.5"" Drywall Flat Finisher Box","Columbia Taping Tools","Columbia 5.5"" Drywall Flat Box is the perfect box for getting into those tight areas. It will fit on all major brands of flat box handles. Well-built and fine-tuned to offer great flat joints for years. We have been being told for years that our boxes are the smoothest finishing and easiest to push.","Columbia offers the widest range of high quality Flat Boxes in the world. From our 5.5” specialty box to our 14” they are all star performers. Well-built and fine-tuned to offer great flat joints for years. We have been being told for years that our boxes are the smoothest finishing and easiest to push. We are very proud to get this feedback and will make sure that every Flat Box we make exceeds your expectations. | Features: | Available in 5.5″, 7″, 8″, 10″, 12″ and now 14″ sizes | Manual sweeping grip for tight spaces when you cannot actuate the box handle (not on the 5.5″ box) | Bead wheel protects axel from wear while running box on bead | Hand made from U.S. billet aluminum and steel components | Machined in our state of the art facility in Canada","367.71","https://drywalltoolbox.com/brands/Columbia/5.5ffb.webp"
"AHA","Columbia Angle Head Ball Adapter","Columbia Taping Tools","The Columbia AHA Ball Adaptor fits onto the Columbia One Handle to allow it to be used as a glazing handle.","The Anglehead Adaptor is used on the Columbia One Handle System to seamlessly adjust from Corner Roller and Nailspotter to Anglehead! The AHA is purchased separately. | Features: | Works seamlessly with the Columbia One Handle System | Hand made from U.S. billet aluminum and steel components | Machined in our state of the art facility in Canada","24.87","https://drywalltoolbox.com/brands/Columbia/aha.webp"
"TAPER","Columbia Automatic Taper","Columbia Taping Tools","The Columbia Automatic Taper is one of the leading tapers on the market. Built from hard-anodized aluminum and stainless steel, this taper is going to last a long time.","The Columbia Automatic Taper is a precision built tool that has been perfected over 40 years. This tool will tape flats and angles effortlessly year after year. From less drag in the corners to any easy to remove cap for cleaning, this tool will not let you down. A hard anodized tube eliminates the track lines that occur on so many other tools. Stainless steel side plates and cable drum and creaser arms offer a lifetime of corrosion resistance. The NEW Patent Pending Pump Action Sleeve gives the operator the smoothest cut on the market and the pull ring is great for higher ceilings. Every taper comes standard with an adjustable brake and quick release for tape changing. If you are serious about taping and care how a taper feels and performs this is the one for you. | Features: | Handmade from U.S. billet aluminum and steel components | Machined in our state of the art facility in Canada | Now with NEW Pump Action Sleeve – smoothest cutting sleeve on the market | Adjustable Brake | Quick release for tape changing | Zero Drag system for corners | Hard anodized tube | Stainless steel side plates, creaser arms and cable drum | Quick release cap","1649.29","https://drywalltoolbox.com/brands/Columbia/taper.webp"
"CC","Columbia Corner Cobra Adjustable Inside & Outside Corner Roller","Columbia Taping Tools","The Columbia Corner Cobra is an amazing time-saving tool. It allows the user to roll out UltraFlex, Strait-Flex, No-Coat, Levelline, and other structural corner beads at almost all inside and outside angles. The Corner Cobra is faster more consistent than wiping down corners by hand .","The Corner Cobra is an amazing time saving tool. It allows the user to roll out No-Coat and other structural corner beads at almost all inside and outside angles. We have heard back from users that it does it quicker and better, which is to us a home run. Another one of our patented products that is changing the time it takes to finish a job. | Features: | Works on inside and outside angles from 85 to 180 degrees | Sets No-Coat 350 and 425 as well as regular tapes | Tracks the centre and outside edge leaving only a knife feather | Fits Corner Roller handles | Shocks allow for imperfect angles and settings | Hand made from U.S. billet aluminum and steel components | Machined in our state of the art facility in Canada","367.71","https://drywalltoolbox.com/brands/Columbia/cc.webp"
"AH9A","Center Clip Assembly","Columbia Taping Tools","AH9A - Center Clip Assembly","Columbia Angle Head Retainer Clip","","https://drywalltoolbox.com/brands/Columbia/ah9a.webp"
"TSB-24","Columbia 24"" Tomahawk Smoothing Blade","Columbia Taping Tools","The Columbia Tomahawk set of Smoothing Blades is the most durable set on the market today. With no plastic pieces, the Tomahawk doesn't snap under pressure. And because the blades use a Flat Box handle, there are no plastic adaptors that will break with the weight of the larger blades. This also increases the stability and your ability to adjust the angle of attack while in motion. The Columbia Tomahawk will change what the industry expects from a professional grade Smoothing Blade.","Columbia 24"" Tomahawk Smoothing Blade","103.82","https://drywalltoolbox.com/brands/Columbia/tsb-24.webp"
"COL3.5 KIT","Columbia 3.5"" Angle Head Rebuild Kit","Columbia Taping Tools","Columbia 3.5"" Angle Head Rebuild Kit","Columbia 3.5"" Angle Head Carbide Blade","","https://drywalltoolbox.com/brands/Columbia/col3-5-kit.webp"
"42BH","Columbia 42"" 180-Grip Featherweight Flat Box Handle","Columbia Taping Tools","Columbia 42"" Flat Box Handle is a perfect sized handle for tight areas and low ceilings. It features a 180-degree braking system which allows for greater versatility. The thicker 1.25"" tube feels great in your hands. Will fit all major brands of flat boxes.","The New 42"" Feather Weight 180º handle allows for a full braking capability over the entire 180º angle span. Grips the axle with a tremendous amount of pressure to eliminate the possibility of slippage when dealing with difficult angle situations. As a result, this produces cleaner, quicker and more efficient application of joint compound. A very versatile design that provides the best possible braking at any angle. Extra strong billet aluminum design for years of rugged usage. Less moving parts mean less breakdowns. | These handles feature strong billet aluminum design with black metal anodizing, and laser engraving. Everything you want in a box handle combined with a feather weight, large diameter (1 1/4"" diameter) tube - helps you achieve the perfect balance, and perfect finish. | Features: | Feather Weight - Lightest Box Handles Around | Clamp style 180 brake is simple and more durable than pinch brakes | Strong billet aluminum design with black anodizing, and laser engraving | Feather weight large diameter (1.25in) tube design for perfect balance and desired pressure point | Additional braking, control, and range of motion versus competitor handles | Compatible with all leading brand boxes (Excluding TapeWorm). | 42"" Feather Weight 180-Grip is ideal for all-around wall work, butt joints, and low ceilings","205.49","https://drywalltoolbox.com/brands/Columbia/42bh.webp"
"6BH","Columbia 72"" 180-Grip Featherweight Flat Box Handle","Columbia Taping Tools","Columbia 72"" Flat Box Handle is the longest flat box handle that Columbia makes. It is great for the tall stuff. It features a 180-degree braking system which allows for greater versatility. The thicker 1.25"" tube feels excellent in your hands. Will fit all major brands of flat boxes.","Columbia 72"" 180-Grip Featherweight Flat Box Handle","232.52","https://drywalltoolbox.com/brands/Columbia/6bh.webp"
"CFB78","Columbia 8"" Door Gasket for Angle Box","Columbia Tools","Columbia 8"" Door Gasket for Angle Box","Columbia 8"" Door Gasket for Angle Box","","scraped_results\images\CFB78_0.webp"
"8FBB","Columbia 8"" Fat Boy Drywall Flat Finishing Box","Columbia Taping Tools","Columbia 8"" Fat Boy Drywall Flat Finishing Box holds 30% more mud than the standard Columbia 8"" Flat Box. It works great for running the first coat on flat joints and butt seams. With 30% more mud, you can go longer distances without having to fill it up at the pump. Easy open door plate makes for very easy cleanup and will fit on all major brands of flat box handles. 5 Year Columbia Warranty.","Columbia offers the widest range of high quality, high capacity finishing boxes in the world. From our 5.5″ Fat Boy to our 12″, they are all star performers. Well-built and fine-tuned to offer great flat joints for years. We have been told for years that our boxes are the smoothest finishing and easiest to push, and now they’re also the highest capacity on the market. We are very proud to get this feedback and will make sure that every Fat Boy box we make exceeds your expectations. | Features: | Available in 5.5″, 8″, 10″, 12″ sizes | Bead wheel protects axel from wear while running box on bead | Hand made from U.S. billet aluminum and steel components | Machined in our state of the art facility in Canada","443.42","https://drywalltoolbox.com/brands/Columbia/8fbb.webp"
"MHL","Columbia Matrix Long Extendable Drywall Flat Box Handle 56"" to 76""","Columbia Taping Tools","Columbia Matrix Long Extendable Flat Box Handle56"" to 76""","The Columbia Matrix Flat Box Handle is lightweight and all mechanical. With a 90 degree grip, the Matrix gives you increased control over your box. These handles are durable and extremely long lasting, all while maintaining the comfort and ease of use that you’re used to with the Columbia brand of tools. The Columbia Matrix mechanical flat box handle is made of all billet aluminum, ensuring a long life. | Features: | Now available in 3 sizes! | Fully mechanical brake | 90 degree grip allows for better control over the box | First Flat Box Handle handmade solely from U.S. billet aluminum | Sizes extend: 29″ to 39″ (MHS), 40″ to 60″ (MH), and 56″ to 76″ (MHL) | Machined in our state of the art facility in Canada | Ergonomic handle grip for easy brake pressure | Fits all Flat Box brands","373.12","https://drywalltoolbox.com/brands/Columbia/mhl.webp"
"ROADCASE","Columbia Road Case","Columbia Taping Tools","Meet the Columbia Road Case (RC), the highly sought-after, durable solution for transporting your valuable tools to the job site. Engineered to withstand the rigors of travel and the harsh environment of work sites, the Road Case offers unmatched protection for your tool set. This robust case is notably equipped with rubber feet, smooth-rolling wheels, and ergonomic handles, ensuring both secure transportation and effortless handling. It provides ample room to house a complete set of Columbia to","The highly requested Columbia Road Case has an extremely durable design to protect your tools on the job. Built to take the abuses of travel, and wear and tear from job sites, the Road Case comes equipped with rubber feet, rolling wheels and ergonomic handles. This case will hold a full set of Columbia tools, including a pump! | Features: | Most durable tool case on the market | Rolling wheels | Ergonomical handles on front and side for easy carrying and rolling | Rubber feet on bottom for protection and easy grip | Latches have locking capabilities | Measurements: 17”x9”x57”","1020.16","https://drywalltoolbox.com/brands/Columbia/roadcase.webp"
"COLSEMI","Columbia Semi-Automatic Starter Set","Columbia Taping Tools","If you want your job to look like a pro did it, even though you did it yourself, try out the Columbia Starter Set. This set is aimed at the occasional taper/finisher.","Lightweight, but extremely durable, Columbia’s Semi-Automatic case can accommodate a complete semi-automatic set of tools. With the egg-shell foam inside, the case secures the tools in place when it is latched closed. The Semi-Automatic case is also useful for storage of the Columbia Tomahawk Smoothing Blades (up to 40″). Not intended for automatic tools. | Features: | Fits a full set of Columbia Semi Automatic Tools | Eggshell foam for support | 4 lock latches | Combination of piano-style and brass hinges for storage safety when locked | Measurements: 53.4″ x 16.5″ x 4.5″ | Made in North America","2030.00","https://drywalltoolbox.com/brands/Columbia/colsemi.webp"
"TS","Columbia Tactical Set","Columbia Tools","The NEW Tactical Set makes moving to Automatic Taping Tools easy! Every taping tool you will need to completely finish a house comes packaged inside our durable, rugged Road Case. This set takes the guess work out of choosing the perfect drywall taping tools kit.","The NEW Tactical Set makes moving to Automatic Taping Tools easy! Every taping tool you will need to completely finish a house comes packaged inside our durable, rugged Road Case. This set takes the guess work out of choosing the perfect drywall taping tools kit. | SET INCLUDES: | Road Case | Automatic Taper | 10″ Flat Box | 12″ Flat Box | Matrix Handle | 7″ Tomahawk | 24″ Tomahawk | 8″ Throttle Box | 3″ Anglehead | Hot Mud Pump | Box Filler & Gooseneck | Corner Roller | AHA | 3″ Nail Spotter | Columbia One Handle and Columbia One EXT | Sander Head | Twist Lock Handle | Tomalock Adapter | Repair Kits: AH-RK, FFBR9-10, FFBR9-12, FFBR7-7A, CTR-1","","scraped_results\images\TS_0.webp"
"COBCRW","Columbia Superwide Outside 90 Corner Bead Roller","Columbia Taping Tools","This Columbia Taping Tools Superwide Outside 90 Corner Bead Roller is the newest model of the outside corner roller from Columbia Taping Tools. It is slightly wider than the original to allow for better performance while rolling outside 90-degree corner bead. Very simple to use and threads onto your standard corner roller handle. Made in Canada out of high-quality aluminum and stainless steel components that will perform for years to come.","Offering four different profiles, Columbia Outside Corner Rollers will be sure to make your tape on bead setting job faster. | COBCRW – Wide = 1.930” | Features: | Available in Standard, Bullnose, Wide and Micro (European) | Hand made from U.S. aluminum and steel components | Machined in our state of the art facility in Canada","86.52","https://drywalltoolbox.com/brands/Columbia/cobcrw.webp"
"CMH","Columbia Closet Monster 18"" Flat Box Handle","Columbia Taping Tools","The Columbia Closet Monster Flat Box Handle is a 1 and 1/4"" thick design pipe. These handles are durable and extremely long-lasting, all while maintaining the comfort and ease of use that you're used to with the Columbia brand of tools. The Columbia Closet Monster is not only the lightest on the market but also the strongest, ensuring a long life.","The Columbia Closet Monster Flat Box Handle is a 1 and 1/4″ thick design pipe. These handles are durable and extremely long lasting, all while maintaining the comfort and ease of use that you’re used to with the Columbia brand of tools. The Columbia Closet Monster is not only the lightest on the market, but also the strongest, ensuring a long life. | The Closet Monster is especially useful for boxing tight areas where a longer handle will not fit. At approximately 19 inches in length, this short handle is a great option for closets and other small spaces. An adjustable wing-nut on the head will allow you to fix the box to your desired angle. | Features: | Handmade from U.S. billet aluminum and steel components | Machined in our state of the art facility in Canada | Hard anodized tube | Comfort grips | Thickest, strongest and lightest handle on the market","113.56","https://drywalltoolbox.com/brands/Columbia/cmh.webp"
"TSB-18","Columbia 18"" Tomahawk Smoothing Blade","Columbia Taping Tools","The Columbia Tomahawk set of Smoothing Blades is the most durable set on the market today. With no plastic pieces, the Tomahawk doesn't snap under pressure. And because the blades use a Flat Box handle, there are no plastic adaptors that will break with the weight of the larger blades. This also increases the stability and your ability to adjust the angle of attack while in motion. The Columbia Tomahawk will change what the industry expects from a professional grade Smoothing Blade.","Columbia 18"" Tomahawk Smoothing Blade","86.52","https://drywalltoolbox.com/brands/Columbia/tsb-18.webp"
"COL2.5 KIT","Columbia 2.5"" Angle Head Rebuild Kit","Columbia Taping Tools","Columbia 2.5"" Angle Head Rebuild Kit","Columbia 2.5"" Angle Head Carbide Blade","","https://drywalltoolbox.com/brands/Columbia/col2-5-kit.webp"
"AHRBK25","Columbia 2.5"" Anglehead Blade Maintenance Kit","Columbia Tools","","Parts: | 2 – AH3 Top Blades | 2 – AH4 Side Blades | 16 FA235 6/32×1/8″ Set Screws | 1 – AH19 1/16″ Allen Key","","scraped_results\images\AHRBK25_0.webp"
"2AH","Columbia 2"" Angle Head w/ Wheels","Columbia Taping Tools","The Columbia 2"" Angle Head is a great choice for your glazing coat. It produces a very fine finish on inside 90-degree corners. These NEW Columbia 2"" Angle Heads have optional wheels. You can run the angle head with or without the wheels.","The Columbia 2″ Angleheads are a tool we are especially proud of. They stand atop our overbuilt lineup of products with their beautiful looks and construction. But above all their beauty, in the corner is all that matters, and they do not disappoint. Whether you are running behind the Corner Roller or skimming on a Corner Box these tools deliver great corner. They run like they are on ice and leave a finish that is ready to paint. | Features: | Precision set carbide blades | Highly durable stainless wings | Comes with wheel kit installed and Allan key for easy removal | Slide lock for easy and secure attachment | Four sizes available – 2″, 2.5″, 3″ and 3.5″ | Hand made from U.S. billet aluminum and steel components | Machined in our state of the art facility in Canada","410.97","https://drywalltoolbox.com/brands/Columbia/2ah.webp"
