name,part_number,manufacturer,description,local_image
Columbia Sander Head,CS,Columbia Tools,"The Columbia Sander Head incorporates all of the industry&rsquo;s preferred functionalities in the first fully machined billet aluminum body. Utilizing our No Flip technology, our Sander Head flows smoothly on the wall.",cttcs.webp
Columbia 4&#39; Extendable One Handle,C1H,Columbia Tools,"The Columbia One Handle is designed to work with your Columbia products universally. From the Nail Spotters and Angleheads, to the Rollers and the Corner Boxes, the One system allows you to lighten your load and still utilize all the finishing tools you love. Add a Tomalock adaptor and you can even use this handle with Flat Boxes if necessary. &nbsp;This One handle is all you&rsquo;ll need.",cttc1h.webp
Columbia 3&#39;-5&#39; Extendable One Handle,C1HEXT,Columbia Tools,"The Columbia One Handle is designed to work with your Columbia products universally. From the Nail Spotters and Angleheads, to the Rollers and the Corner Boxes, the One system allows you to lighten your load and still utilize all the finishing tools you love. Add a Tomalock adaptor and you can even use this handle with Flat Boxes if necessary. &nbsp;This One handle is all you&rsquo;ll need.",cttc1hext.webp
Columbia Inside Corner Roller,CR,Columbia Tools,Our Inside Corner Roller offers the easiest roll in the industry. With our split wheel design tapes do not drag upon initial contact. The tape immediately imbeds in the corner with all unneeded compound being pushed out from behind.,cttcr.webp
Columbia Outside Corner Roller,COBCR,Columbia Tools,"Offering four different profiles, Columbia Outside Corner Rollers will be sure to make your tape on bead setting job faster.",cttcobcr.webp
Columbia Mud Pump (Top Disconnect),HMP,Columbia Tools,"What a workhorse this tool is. Built to perform in the toughest environment, our pump smoothly and quickly fills your tools. With a 20 degree angle, the handle acts as a lever and keeps the operator from having to reach as far as other models on the market.",ctthmp.webp
Columbia Box Filler,BF,Columbia Tools,"Available for both our regular and Tallboy pumps, these aluminum and stainless steel attachments are tough and effective. The Box Filler makes filling your Flat Boxes, Nail Spotters and Corner Boxes a dream.",cttbf.webp
Columbia Matrix Extendable Flat Box Handle,MH,Columbia Tools,"The Columbia Matrix Flat Box Handle is lightweight and all mechanical. With a 90 degree grip, the Matrix gives you increased control over your box. These handles are durable and extremely long lasting, all while maintaining the comfort and ease of use that you&rsquo;re used to with the Columbia brand of tools. The Columbia Matrix mechanical flat box handle is made of all billet aluminum, ensuring a long life.",cttmh.webp
Columbia 10&#34; Flat Finishing Box,10FFB,Columbia Tools,"Columbia Taping Tools 10"" Hinged Drywall Flat Finisher Box&nbsp;features precision joint compound metering adjustment for top quality finish surfaces on drywall butt joints and flat seams. Integrated door axle and pressure plate system allows smooth, easy operation and quick access for easy cleanup! New, ultra-reliable door plate wiper resists expansion or deterioration, for long-term ease of operation and greater reliability.",ctt10ffb.webp
Columbia 12&#34; Flat Finishing Box,12FFB,Columbia Tools,"Columbia Taping Tools 12"" Hinged Drywall Flat Finisher Box&nbsp;features precision joint compound metering adjustment for top quality finish surfaces on drywall butt joints and flat seams. Integrated door axle and pressure plate system allows smooth, easy operation and quick access for easy cleanup! New, ultra-reliable door plate wiper resists expansion or deterioration, for long-term ease of operation and greater reliability.",ctt12ffb.webp
Columbia Aluminum Coarse Thread Adapter,PHA,Columbia Tools,Columbia Aluminum Coarse Thread Adapter,cttpha.webp
Columbia 2″ Nailspotter,2NS,Columbia Tools,The Columbia 2&Prime; Nailspotter is a big improvement in screw finishing. It has the option of having wheels or the traditional skid plate. It is light weight and has an easy to adjust thumb screw for swivel tension. By far the best Nailspotter on the market.,ctt2ns.webp
Columbia Gooseneck,GN,Columbia Tools,"Available in our regular and Tallboy, these stainless steel attachments are tough and effective. Rubber covers on the horseshoe protect your taper while being filled.",cttgn.webp
Columbia 3″ Anglehead,3AH,Columbia Tools,"The Columbia 3&Prime; Angleheads are a tool we are especially proud of. They stand atop our overbuilt lineup of products with their beautiful looks and construction. But above all their beauty, in the corner is all that matters, and they do not disappoint. Whether you are running behind the Corner Roller or skimming on a Corner Box these tools deliver great corner. They run like they are on ice and leave a finish that is ready to paint.",ctt3ah.webp
Columbia 3″ Nailspotter,3NS,Columbia Tools,The Columbia 3&Prime; Nailspotter is a big improvement in screw finishing. It has the option of having wheels or the traditional skid plate. It is light weight and has an easy to adjust thumb screw for swivel tension. By far the best Nailspotter on the market.,ctt3ns.webp
Columbia 2.5&#34; Standard Corner Flusher,25SF,Columbia Tools,"Columbia Standard Corner Flushers have redefined angle finishing. They are built from the best materials, but above all, they are each hand ground and checked on a granite plate for perfection. Each one comes with wheels and an allen key for those who prefer not to use them.",ctt25sf.webp
Columbia 3&#34; Standard Corner Flusher,3SF,Columbia Tools,"Columbia Standard Corner Flushers have redefined angle finishing. They are built from the best materials, but above all, they are each hand ground and checked on a granite plate for perfection. Each one comes with wheels and an allen key for those who prefer not to use them.",ctt3sf.webp
