sku,old_name,new_name,production_line,master_lines
HFFB14-8,"Flat Box Hinged Door Gasket - 8""","8"" Flat Box Hinged Door Gasket",156,221
HFFB14-10,"Flat Box Hinged Door Gasket - 10""","10"" Flat Box Hinged Door Gasket",157,222
HFFB14-12,"Flat Box Hinged Door Gasket - 12""","12"" Flat Box Hinged Door Gasket",158,223
HFFB14-14,"Flat Box Hinged Door Gasket - 14""","14"" Flat Box Hinged Door Gasket",159,224
FFB25-10,"Rubber Gasket Retainer - 10""","10"" Rubber Gasket Retainer",161,209
FFB25-12,"Rubber Gasket Retainer - 12""","12"" Rubber Gasket Retainer",162,210
AH3-2,"Top Blade - 2""","2"" Top Blade",173,314
AH3-2.5,"Top Blade - 2.5""","2.5"" Top Blade",174,315
AH3-3,"Top Blade - 3""","3"" Top Blade",175,316
AH3-3.5,"Top Blade - 3.5""","3.5"" Top Blade",176,317
FFB9-5.5,"Blade - 5.5""","Blade 5.5""",243,198
FFB9-14,"Blade - 14""","Blade 14""",248,203
HNS7-2,"Blade - 2""","Blade 2""",250,158
HNS7-3,"Blade - 3""","Blade 3""",251,159
HNS8-2,"Blade Holder - 2""","Blade Holder 2""",253,160
HNS8-3,"Blade Holder - 3""","Blade Holder 3""",254,161
AH9A,"Bottom Retainer Corner Clip - 3.5"" / All Sizes Post 2014","Bottom Retainer Corner Clip - 3.5"" or All Sizes Post 2014",258,328
BH9-42,"Brake Connecting Strap - 42""","Brake Connecing Strap - 42""",267,296
BH9-6,Brake Connecting Strap - 6',Brake Connecting Strap -6',270,298
HH17A,Brass Connector - 1,Brass Connector 1,277,248
HH17B,Brass Connector - 2,Brass Connector 2,278,249
HNS4-2,"Door - 2""","Door 2""",324,156
HNS4-3,"Door - 3""","Door 3""",325,157
CFB4-7,"Door - 7""","Door 7""",327,256
CFB4-8,"Door - 8""","Door 8""",328,257
HNS15-2,"Door Gasket - 2""","Door Gasket 2""",330,168
HNS15-3,"Door Gasket - 3""","Door Gasket 3""",331,169
CFB7-7,"Door Gasket - 7""","Door Gasket 7""",333,260
CFB7-8,"Door Gasket - 8""","Door Gasket 8""",334,261
HNS10A,Door Spring - Short,Door Spring Short,338,163
HNS10,Door Spring - Long,Door Spring Long,339,162
AH7-2,"Frame Tension Spring - 2""","Frame Tension Spring- 2""",359,321
AH7-2.5,"Frame Tension Spring - 2.5""","Frame Tension Spring- 2.5""",360,322
AH7-3,"Frame Tension Spring - 3""","Framer Tention Spring- 3""",361,323
AH7-3.5,"Frame Tension Spring - 3.5""","Frame Tension Spring- 3.5""",362,324
AH1-2,"Head Casting - 2""","Head Casting -2""",386,308
AH1-2.5,"Head Casting - 2.5""","Head Casting- 2.5""",387,309
AH1-3,"Head Casting - 3""","Head Casting -3""",388,310
HFFB3,Hinge Box End Plate - Right,Hinge Box End Plate-Right,393,218
HFFB3A,Hinge Box End Plate - Left,Hinge Box End Plate- Left,394,219
CT4,Wafer Bushing - Left,Left Wafer Bushing,405,47
CT5,Wafer Bushing - Right,Right Wafer Bushing,406,48
MP13A,Piston Backing Washer - Small,Piston Backing Washer (Small),446,409
MP13,Piston Backing Washer - Large,Piston Backing Washer (Large),447,408
CT3,Insert Bushing - Right,Right Insert Bushing (includes CT4),471,45
CT3A,Insert Bushing - Left,Left Insert Bushing,472,46
CT29,Nylatron Chain Roller - Right (Small),Right Nylatron Chain Roller (small),474,61
CT29A,Nylatron Chain Roller - Left (Large),Left Nylatron Chain Roller (large),475,62
CFB3-7,"Side Plate - 7""","Side Plate 7""",490,254
CFB3-8,"Side Plate - 8""","Side Plate 8""",491,255
AH8A,"Top Retainer Corner Clip - 3.5"" / All Sizes Post 2014","Top Retainer Corner Clip- 3.5"" or All Sizes Post 2014",512,326
