normalized_sku,match_status,tsw_sku,tsw_brand,tsw_name,tsw_images,tsw_image_ok,wc_sku,wc_type,wc_parent_sku,wc_brand,wc_name,wc_categories,wc_price,wc_in_stock,wc_published,wc_slug,wc_images,wc_last_audited,flag_name_mismatch,flag_brand_mismatch,flag_tsw_bad_image,flag_wc_missing_image,flag_tsw_missing_image,flag_wc_not_published,flag_wc_no_price,flag_wc_out_of_stock,notes
03TT,WC_ONLY,,,,,,03TT,simple,,TapeTech,TapeTech EasyClean® Automatic Mini - Taper,Drywall Finishing Tools > TapeTech > Automatic Taping Tools,,1,1,tapetech-easyclean-automatic-mini-taper,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/tapetech-easyclean-automatic-mini-taper-03TT-1.webp | https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/tapetech-easyclean-automatic-mini-taper-03TT-2.webp,2026-05-07,False,False,False,False,False,False,True,False,not in TSW catalog
050019,TSW_ONLY,050019,TapeTech,TapeTech Disengaging Cam,https://s3.amazonaws.com/capmatfiles/product/MD-TapeTech_DisengagingCam.jpg,True,,,,,,,,,,,,,False,False,False,False,False,False,False,False,not in WC catalog
050023F,TSW_ONLY,050023F,TapeTech,Spacer Bar,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT050023F_M.jpg,True,,,,,,,,,,,,,False,False,False,False,False,False,False,False,not in WC catalog
050027,TSW_ONLY,050027,TapeTech,TapeTech 04TT Automatic Taper Replacement Needle Holder Lock,https://s3.amazonaws.com/capmatfiles/product/MD-tapetech_050027.jpg,True,,,,,,,,,,,,,False,False,False,False,False,False,False,False,not in WC catalog
050034F,TSW_ONLY,050034F,TapeTech,Disengaging Rod,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT050034F_M.jpg,True,,,,,,,,,,,,,False,False,False,False,False,False,False,False,not in WC catalog
050041F,TSW_ONLY,050041F,TapeTech,Disengaging Rod Bearing,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT0041F_M.jpg,True,,,,,,,,,,,,,False,False,False,False,False,False,False,False,not in WC catalog
050043F,TSW_ONLY,050043F,TapeTech,Anvil,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT050043F_M.jpg,True,,,,,,,,,,,,,False,False,False,False,False,False,False,False,not in WC catalog
050058,TSW_ONLY,050058,TapeTech,TapeTech Control Valve,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT050058_M.jpg,True,,,,,,,,,,,,,False,False,False,False,False,False,False,False,not in WC catalog
050063,TSW_ONLY,050063,TapeTech,Cut Off Cover,https://s3.amazonaws.com/tswfastcomfiles/product/TTT050063_M.jpg,False,,,,,,,,,,,,,False,False,True,False,False,False,False,False,TSW image uses old S3 bucket; not in WC catalog
050064F,TSW_ONLY,050064F,TapeTech,Automatic Taper Valve,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT050064F_M.jpg,True,,,,,,,,,,,,,False,False,False,False,False,False,False,False,not in WC catalog
050070F,TSW_ONLY,050070F,TapeTech,Axle Creaser Wheel,https://s3.amazonaws.com/tswfastcomfiles/product/TTT050070F_M.jpg,False,,,,,,,,,,,,,False,False,True,False,False,False,False,False,TSW image uses old S3 bucket; not in WC catalog
050073,TSW_ONLY,050073,TapeTech,TapeTech Automatic Taper Creaser Wheel,https://s3.amazonaws.com/capmatfiles/product/MD-TapeTech_CreaserWheel.jpg,True,,,,,,,,,,,,,False,False,False,False,False,False,False,False,not in WC catalog
050083F,TSW_ONLY,050083F,TapeTech,Cable Drum,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT050083F_M.jpg,True,,,,,,,,,,,,,False,False,False,False,False,False,False,False,not in WC catalog
050086F,TSW_ONLY,050086F,TapeTech,Bushing Head,https://s3.amazonaws.com/tswfastcomfiles/product/TTT050086F_M.jpg,False,,,,,,,,,,,,,False,False,True,False,False,False,False,False,TSW image uses old S3 bucket; not in WC catalog
050109F,TSW_ONLY,050109F,TapeTech,Automatic Taper Hub,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT050109F_M.jpg,True,,,,,,,,,,,,,False,False,False,False,False,False,False,False,not in WC catalog
050110F,TSW_ONLY,050110F,TapeTech,Driver Shaft,https://s3.amazonaws.com/tswfastcomfiles/product/TTT050110F_L.jpg,False,,,,,,,,,,,,,False,False,True,False,False,False,False,False,TSW image uses old S3 bucket; not in WC catalog
050113F,TSW_ONLY,050113F,TapeTech,Cutter Block Tube,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT050113F_M.jpg,True,,,,,,,,,,,,,False,False,False,False,False,False,False,False,not in WC catalog
050123,TSW_ONLY,050123,TapeTech,Related Products,https://s3.amazonaws.com/tswfastcomfiles/product/TTT050123_M.jpg,False,,,,,,,,,,,,,False,False,True,False,False,False,False,False,TSW image uses old S3 bucket; not in WC catalog
050128F,TSW_ONLY,050128F,TapeTech,Chain Roller Bushing,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT140013_M.jpg,True,,,,,,,,,,,,,False,False,False,False,False,False,False,False,not in WC catalog
050132F,TSW_ONLY,050132F,TapeTech,TapeTech Cut-Off Spring,https://s3.amazonaws.com/capmatfiles/product/MD-TapeTech_CutOffSpring.jpg,True,,,,,,,,,,,,,False,False,False,False,False,False,False,False,not in WC catalog
050141,TSW_ONLY,050141,TapeTech,Left Chain Support,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT050141_M.jpg,True,,,,,,,,,,,,,False,False,False,False,False,False,False,False,not in WC catalog
050145,TSW_ONLY,050145,TapeTech,TapeTech Creaser Chain,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT050145_M.jpg,True,,,,,,,,,,,,,False,False,False,False,False,False,False,False,not in WC catalog
050150F,TSW_ONLY,050150F,TapeTech,TapeTech Hub,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT050150F_M.jpg,True,,,,,,,,,,,,,False,False,False,False,False,False,False,False,not in WC catalog
050152F,TSW_ONLY,050152F,TapeTech,Spacer Rod,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT050152F_M.jpg,True,,,,,,,,,,,,,False,False,False,False,False,False,False,False,not in WC catalog
050154,TSW_ONLY,050154,TapeTech,Bearing Bracket,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT050154_M.jpg,True,,,,,,,,,,,,,False,False,False,False,False,False,False,False,not in WC catalog
050163,TSW_ONLY,050163,TapeTech,TapeTech Main Chain Guide,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT050163_M.jpg,True,,,,,,,,,,,,,False,False,False,False,False,False,False,False,not in WC catalog
050200,TSW_ONLY,050200,TapeTech,TapeTech Plastic Piston,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT050200_M.jpg,True,,,,,,,,,,,,,False,False,False,False,False,False,False,False,not in WC catalog
050204,TSW_ONLY,050204,TapeTech,Cup Washer,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT050204_M.jpg,True,,,,,,,,,,,,,False,False,False,False,False,False,False,False,not in WC catalog
050205,TSW_ONLY,050205,TapeTech,"Hex Head Cup Bolt 1/4-20X3 /4""",https://s3.amazonaws.com/tswfastcomfiles/product/TTT050205_M.jpg,False,,,,,,,,,,,,,False,False,True,False,False,False,False,False,TSW image uses old S3 bucket; not in WC catalog
050212F,TSW_ONLY,050212F,TapeTech,TapeTech Lock Block for 07TT,https://s3.amazonaws.com/tswfastcomfiles/product/TTT050212F_M.jpg,False,,,,,,,,,,,,,False,False,True,False,False,False,False,False,TSW image uses old S3 bucket; not in WC catalog
050215,TSW_ONLY,050215,TapeTech,Control Tuber Roller,https://s3.amazonaws.com/tswfastcomfiles/product/TTT050215_M.jpg,False,,,,,,,,,,,,,False,False,True,False,False,False,False,False,TSW image uses old S3 bucket; not in WC catalog
050249,TSW_ONLY,050249,TapeTech,TapeTech Creaser Connector,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT050249_M.jpg,True,,,,,,,,,,,,,False,False,False,False,False,False,False,False,not in WC catalog
050251F,TSW_ONLY,050251F,TapeTech,Tube Protector,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT050251F_M.jpg,True,,,,,,,,,,,,,False,False,False,False,False,False,False,False,not in WC catalog
050405B,TSW_ONLY,050405B,TapeTech,Keeper Axle - Black,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT050405B_M.jpg,True,,,,,,,,,,,,,False,False,False,False,False,False,False,False,not in WC catalog
050410B,TSW_ONLY,050410B,TapeTech,TapeTech Control Tube Flange - Black,https://s3.amazonaws.com/tswfastcomfiles/product/050410B_M.jpg,False,,,,,,,,,,,,,False,False,True,False,False,False,False,False,TSW image uses old S3 bucket; not in WC catalog
050412,TSW_ONLY,050412,TapeTech,TapeTech Wheel Keeper Wire Form,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT050412_M.jpg,True,,,,,,,,,,,,,False,False,False,False,False,False,False,False,not in WC catalog
050413,TSW_ONLY,050413,TapeTech,TapeTech Control Tube Wheel,https://s3.amazonaws.com/gmscom/master/media-common/product/050413_med.jpg,True,,,,,,,,,,,,,False,False,False,False,False,False,False,False,not in WC catalog
0504186,TSW_ONLY,0504186,TapeTech,Roller Axle - 6 Pack,https://s3.amazonaws.com/tswfastcomfiles/product/TTT0504186_M.jpg,False,,,,,,,,,,,,,False,False,True,False,False,False,False,False,TSW image uses old S3 bucket; not in WC catalog
050500,TSW_ONLY,050500,TapeTech,TapeTech Brake Roller,https://s3.amazonaws.com/capmatfiles/product/MD-TapeTech_BrakeRoller2.jpg,True,,,,,,,,,,,,,False,False,False,False,False,False,False,False,not in WC catalog
