Brands,SKU,MPN,Name,Categories,Short description
Columbia Taping Tools,FFB21,FFB21,#10 X 11/16 Flat Washer (FFB21),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,#10 X 11/16 Flat Washer (FFB21)
Columbia Taping Tools,CT167,CT167,#4 Flat Washer (CT167),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,#4 Flat Washer (CT167)
Columbia Taping Tools,FA348,FA348,1/4 Flat Washer (FA348),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,1/4 Flat Washer (FA348)
Columbia Taping Tools,FA347,FA347,1/4-20 Nyloc Nut (FA347),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,1/4-20 Nyloc Nut (FA347)
Columbia Taping Tools,FA363,FA363,10-24 x 1 Flat Head Screw (FA363),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,10-24 x 1 Flat Head Screw (FA363)
Columbia Taping Tools,FA324,FA324,10-24 x 1/4 Set Screw (FA324),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,10-24 x 1/4 Set Screw (FA324)
Columbia Taping Tools,FA362,FA362,10-24 x 3/4 Flat Head Screw (FA362),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,10-24 x 3/4 Flat Head Screw (FA362)
Columbia Taping Tools,FA374,FA374,10-32 x 1/4 Flat Head Screw (FA374),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,10-32 x 1/4 Flat Head Screw (FA374)
Columbia Taping Tools,COL2.5CSF,COL2.5CSF,"2.5"" Combo Flusher (COL2.5CSF)",Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Columbia 2.5"" Combo Flusher (COL2.5CSF)"
Columbia Taping Tools,BH8-3,BH8-3,"3 ft Box Handle 8"" (BH8-3)",Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,3 ft Box Handle 8 in (BH8-3)
Columbia Taping Tools,FA377,FA377,6-32 x 1/4 Flat Head Screw (FA377),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,6-32 x 1/4 Flat Head Screw (FA377)
Columbia Taping Tools,FA S26,FA S26,6-32 x 1/4 Set Screw (FA S26),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,6-32 x 1/4 Set Screw - FA S26
Columbia Taping Tools,FA365,FA365,8-32 Nyloc Nut (FA365),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,8-32 Nyloc Nut (FA365)
Columbia Taping Tools,FA327,FA327,8-32 x 1/4 Pan Head Screw (FA327),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,8-32 x 1/4 Pan Head Screw (FA327)
Columbia Taping Tools,FA366,FA366,8-32 x 3/8 Pan Head Screw (FA366),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,8-32 x 3/8 Pan Head Screw (FA366)
Columbia Taping Tools,FA364,FA364,8-32 x 5/8 Hex Bolt (FA364),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,8-32 x 5/8 Hex Bolt (FA364)
Columbia Taping Tools,AH22,AH22,Angle Head Frame Clamp (AH22),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,Angle Head Frame Clamp (AH22)
Columbia Taping Tools,AH23,AH23,Angle Head Frame Retaining Pin (AH23),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,Angle Head Frame Retaining Pin (AH23)
Columbia Taping Tools,AH21,AH21,Angle Head Hinge Spacer (AH21),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,Angle Head Hinge Spacer (AH21)
Columbia Taping Tools,AH20,AH20,Angle Head Pivot Pin (AH20),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,Angle Head Pivot Pin (AH20)
Columbia Taping Tools,AB42,AB42,Automatic Box Air Valve Body (AB42),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,Automatic Box Air Valve Body (AB42)
Columbia Taping Tools,AB48,AB48,Automatic Box Air Valve O-Ring (AB48),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,Automatic Box Air Valve O-Ring (AB48)
Columbia Taping Tools,AB40,AB40,Automatic Box Air Valve Seat (AB40),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,Automatic Box Air Valve Seat (AB40)
Columbia Taping Tools,AB41,AB41,Automatic Box Air Valve Stem (AB41),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,Automatic Box Air Valve Stem (AB41)
Columbia Taping Tools,AB44,AB44,Automatic Box Clutch Spring (AB44),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,Automatic Box Clutch Spring (AB44)
Columbia Taping Tools,AB44B,AB44B,Automatic Box Clutch Spring Long (AB44B),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,Automatic Box Clutch Spring Long (AB44B)
Columbia Taping Tools,AB44A,AB44A,Automatic Box Clutch Spring Short (AB44A),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,Automatic Box Clutch Spring Short (AB44A)
Columbia Taping Tools,AB49,AB49,Automatic Box Handle Mount (AB49),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,Automatic Box Handle Mount (AB49)
Columbia Taping Tools,AB43,AB43,Automatic Box Throttle Housing (AB43),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,Automatic Box Throttle Housing (AB43)
Columbia Taping Tools,AB46,AB46,Automatic Box Throttle Pin (AB46),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,Automatic Box Throttle Pin (AB46)
Columbia Taping Tools,AB45,AB45,Automatic Box Throttle Set Screw (AB45),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,Automatic Box Throttle Set Screw (AB45)
Columbia Taping Tools,AB47,AB47,Automatic Box Thumb Valve (AB47),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,Automatic Box Thumb Valve (AB47)
Columbia Taping Tools,"HNS8-2""","HNS8-2""","Blade Holder 2"" (HNS8-2"")",Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"COLHNS8-2 in Blade Holder 2 in - HNS8-2"""
Columbia Taping Tools,NS6-2,NS6-2,"Blade Holder 2"" (NS6-2)",Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Blade Holder 2"" (NS6-2)"
Columbia Taping Tools,NS6-3,NS6-3,"Blade Holder 3"" (NS6-3)",Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Blade Holder 3"" (NS6-3)"
Columbia Taping Tools,NS6A,NS6A,Blade Holder Inserts (NS6A),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,Blade Holder Inserts (NS6A)
Columbia Taping Tools,ICATW1,ICATW1,Body for ICATW (ICATW1),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,Body for ICATW (ICATW1)
Columbia Taping Tools,CLT13,CLT13,Cam Lock Tube Cam Body (CLT13),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,Cam Lock Tube Cam Body (CLT13)
Columbia Taping Tools,CLT16,CLT16,Cam Lock Tube End Cap (CLT16),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,Cam Lock Tube End Cap (CLT16)
Columbia Taping Tools,CLT14,CLT14,Cam Lock Tube Locking Pin (CLT14),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,Cam Lock Tube Locking Pin (CLT14)
Columbia Taping Tools,CLT12,CLT12,Cam Lock Tube Locking Sleeve (CLT12),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,Cam Lock Tube Locking Sleeve (CLT12)
Columbia Taping Tools,CLT15,CLT15,Cam Lock Tube Return Spring (CLT15),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,Cam Lock Tube Return Spring (CLT15)
Columbia Taping Tools,FA346,FA346,Columbia 1/4 Star Washer (FA346),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,1/4 Star Washer (FA346)
Columbia Taping Tools,FA345,FA345,Columbia 1/4 x 1/4 Roll Pin (FA345),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,1/4 x 1/4 Roll Pin (FA345)
Columbia Taping Tools,FA287,FA287,Columbia 1/4 x 5/8 Split Pin (FA287),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,1/4 x 5/8 Split Pin (FA287)
Columbia Taping Tools,805865-A,,"Columbia 1/4-20 X 1-1/2"" Hex Bolt (805865-A)",Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Columbia 1/4-20 x 1-1/2"" hex bolt designed for secure, reliable maintenance and assembly of professional drywall finishing tools."
Columbia Taping Tools,FA340,FA340,Columbia 1/4-20 x 1-1/4 Socket Head (FA340),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,1/4-20 x 1-1/4 Socket Head (FA340)
Columbia Taping Tools,FA341,FA341,Columbia 1/4-20 x 1-3/4 Hex Bolt (FA341),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,1/4-20 x 1-3/4 Hex Bolt (FA341)
Columbia Taping Tools,FA342,FA342,Columbia 1/4-20 x 3/4 Hex Bolt (FA342),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,1/4-20 x 3/4 Hex Bolt (FA342)
Columbia Taping Tools,FA383,FA383,Columbia 1/4-20 x 3/8 Flat Head Screw (FA383),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,1/4-20 x 3/8 Flat Head Screw (FA383)
Columbia Taping Tools,FA337,FA337,Columbia 1/4-20 x 5/8 Flat Socket Head (FA337),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,1/4-20 x 5/8 Flat Socket Head (FA337)
Columbia Taping Tools,FA371,FA371,Columbia 10-24 x 7/8 Hex Bolt (FA371),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,10-24 x 7/8 Hex Bolt (FA371)
Columbia Taping Tools,FA375,FA375,Columbia 10-32 x 3/8 Flat Head Screw (FA375),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,10-32 x 3/8 Flat Head Screw (FA375)
Columbia Taping Tools,COL2 KIT,,"Columbia 2"" Angle Head Rebuild Kit (COL2 KIT)",Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Restore your 2"" angle head to factory-standard performance with this comprehensive Columbia Taping Tools rebuild kit, designed for precision and long-term reliability."
Columbia Taping Tools,COL2.5 KIT,,"Columbia 2.5"" Angle Head Rebuild Kit (COL2.5 KIT)",Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Restore your 2.5-inch angle head to factory standards with this comprehensive rebuild kit, featuring high-grade carbide blades and essential hardware for consistent, professional corner finishing."
