Brand,SKU,Product Name,notes
Columbia Taping Tools,FFB21,#10 X 11/16 Flat Washer (FFB21),ffb21.webp
Columbia Taping Tools,CT167,#4 Flat Washer (CT167),ct167.webp
Columbia Taping Tools,FA278,#8 Belleville Washer (FA278),fa278.webp
Columbia Taping Tools,FA348,1/4 Flat Washer (FA348),fa348.webp
Columbia Taping Tools,FA347,1/4-20 Nyloc Nut (FA347),fa347.webp
Columbia Taping Tools,HFFB1-10,"10"" Heavy Flat Box Body (HFFB1-10)",hffb1-10.webp
Columbia Taping Tools,HFFB1A-10,"10"" Heavy Flat Box Body 1A (HFFB1A-10)",hffb1a-10.webp
Columbia Taping Tools,HFFB4-10,"10"" Heavy Flat Box Door (HFFB4-10)",hffb4-10.webp
Columbia Taping Tools,FA363,10-24 x 1 Flat Head Screw (FA363),fa363.webp
Columbia Taping Tools,FA324,10-24 x 1/4 Set Screw (FA324),fa324.webp
Columbia Taping Tools,FA362,10-24 x 3/4 Flat Head Screw (FA362),fa362.webp
Columbia Taping Tools,FA374,10-32 x 1/4 Flat Head Screw (FA374),fa374.webp
Columbia Taping Tools,COL2.5CSF,"2.5"" Combo Flusher (COL2.5CSF)",col2-5csf.webp
Columbia Taping Tools,COL2.5SF,"2.5"" Standard Flusher (COL2.5SF)",col2-5sf.webp
Columbia Taping Tools,BH8-3,"3 ft Box Handle 8"" (BH8-3)",bh8-3.webp
Columbia Taping Tools,BH9-3,"3 ft Box Handle 9"" (BH9-3)",bh9-3.webp
Columbia Taping Tools,COL3CSF,"3"" Combo Flusher (COL3CSF)",col3csf.webp
Columbia Taping Tools,COL3DF,"3"" Direct Flusher (COL3DF)",col3df.webp
Columbia Taping Tools,COL3WTDF,"3"" Widetrack Direct Flusher (COL3WTDF)",col3wtdf.webp
Columbia Taping Tools,COL3WTSF,"3"" Widetrack Standard Flusher (COL3WTSF)",col3wtsf.webp
Columbia Taping Tools,COL3.5SF,"3.5"" Standard Flusher (COL3.5SF)",col3-5sf.webp
Columbia Taping Tools,4BBH,"48"" 180-Grip Bent Flat Box Handle (4BBH)",4bbh.webp
Columbia Taping Tools,FA377,6-32 x 1/4 Flat Head Screw (FA377),fa377.webp
Columbia Taping Tools,FA S26,6-32 x 1/4 Set Screw (FA S26),fa-s26.webp
Columbia Taping Tools,FA237,6-32 x 3/16 Binder Slot Screw (FA237),fa237.webp
Columbia Taping Tools,FA272,6-32 x 3/8 Set Screw (FA272),fa272.webp
Columbia Taping Tools,FA271,6-32 x 5/16 Pan Head Screw (FA271),fa271.webp
Columbia Taping Tools,FA365,8-32 Nyloc Nut (FA365),fa365.webp
Columbia Taping Tools,FA327,8-32 x 1/4 Pan Head Screw (FA327),fa327.webp
