brand,sku_code,mpn,product_title,price
Columbia Taping Tools,809526-A2,,Columbia #6 Belleville Washer,
Columbia Taping Tools,805865-A,,"Columbia 1/4-20 X 1-1/2"" Hex Bolt",
Columbia Taping Tools,809526-A,,Columbia 1/4-20 X 2in Hex Bolt,
Columbia Taping Tools,FA-298,,Columbia 1/4-20 X 7/8in Flat Socket,
Columbia Taping Tools,FA302,,Columbia 1/4-28 X 1/4in Set Screw,
Columbia Taping Tools,FA-288,,Columbia 1/4in X 1/2in Split Pin,
Columbia Taping Tools,59225-A,,Columbia 10-32 Nyloc Jam Nut,
Columbia Taping Tools,FA-308,,Columbia 33/64 X 7/8in Flat Washer,
Columbia Taping Tools,FA209,,"Columbia 4-40 X 1/8"" Flat Head Screw",
Columbia Taping Tools,FA220,,"Columbia 4-40 X 3/4"" Bind Head Screw",
Columbia Taping Tools,FA-306,,"Columbia 5/16-18 x 1 1/4"" Hex Bolt",
Columbia Taping Tools,807224-A,,Columbia Hex Nut,
Columbia Taping Tools,808991,,"Columbia 6-32 X 1/2"" Bind Head Screw",
Columbia Taping Tools,59091-A2,,"Columbia 6-32 X 1/2"" Fill. Head Screw",
Columbia Taping Tools,219081-A,,"Columbia 6-32 X 3/16"" Flat Slot",
Columbia Taping Tools,FA247,,"Columbia 6-32 X 5/8"" Hex Bolt",
Columbia Taping Tools,809171,,"Columbia 8-32 X 3/16"" Pan Slot",
Columbia Taping Tools,402006-A,,Columbia AH18 - Angle Head Socket Wear Cup,
Columbia Taping Tools,409010-A,,Columbia AH1B - Return Spring Angle Head,
Columbia Taping Tools,402019-A,,Columbia AH5 - Angle Head Frame Retainer Clip,
Columbia Taping Tools,809011-A,,Columbia Angle Box 5/16-18 X 3/4in Thumb Screw,
Columbia Taping Tools,CFB16,,Columbia Angle Box Bearing Sleeve,
Columbia Taping Tools,CFB-15,,Columbia Angle Box Door Hinge,
Columbia Taping Tools,CFB11,,Columbia Angle Box Door Stop,
Columbia Taping Tools,CFB-15A,,Columbia Angle Box Hinge Bushing,
Columbia Taping Tools,CFB-1A,,Columbia Angle Box Hinge Seal - CFB1A,
Columbia Taping Tools,354003F-A,,Columbia Angle Box Mud Supply Valve Unit - CFB6,
Columbia Taping Tools,CFB-19,,Columbia Angle Box Nylatron Bushing,
Columbia Taping Tools,AH7-3,,Columbia Angle Head Frame Tension Spring,
Columbia Taping Tools,AH7-2,,Columbia Angle Head Frame Tension Spring 2in,
Columbia Taping Tools,AH7-3.5,,Columbia Angle Head Frame Tension Spring 3.5in,
Columbia Taping Tools,AH4,,Columbia Angle Head Side Blade,
Columbia Taping Tools,BH2,,Columbia Box Handle 180 Grip Plate,
Columbia Taping Tools,BH26,,Columbia Box Handle Cam for 180 Handle,
Columbia Taping Tools,BH6,,Columbia Box Handle Hinge Pin,
Columbia Taping Tools,BH01,,Columbia Box Handle Mounting Plate,
Columbia Taping Tools,809011-A2,,Columbia Box Handle Thumb Screw (180 Degree Handle),
Columbia Taping Tools,BH-5,,Columbia Box Handle Upper Mounting Bracket - BH5,
Columbia Taping Tools,CT-125A,,Columbia CT125A - Columbia Taper Bearing,
Columbia Taping Tools,50229-A,,Columbia CT128 - Taper Shaft Guide Strap,
Columbia Taping Tools,50232-A,,Columbia CT129A - Taper Strap Bracket,
Columbia Taping Tools,50226-A,,Columbia CT129B - Taper Sleeve (Plastic Roller),
