category_name,subcategory_or_tool,tool_title,tool_url,gallery_index,source_url,saved_path,file_size,sha256,content_type,assigned_sku,assigned_name,assignment_reason,normalized_path
Hand Tools,Trowels,Trowels,https://www.columbiatools.com/columbia-tools/hand-tools/columbia-mud-pans-3/,6,https://www.columbiatools.com/wp-content/uploads/2025/03/1422gproflex-scaled.png,hand-tools/columbia-mud-pans-3/columbia-mud-pans-3_06.png,851010,355635c21cf852354bb8f5ac215a81890ad943fcce302e192d9a4b6db0df4a91,image/png,12-4.7-0.7-G-C,"Columbia Trowels - 12"" GOLD FINISHING TROWEL (12-4.7-0.7-G-C)",first_candidate_fallback,hand-tools/columbia-mud-pans-3/columbia-trowels-12-inch-gold-finishing-trowel-12-4.7-0.7-G-C-06.webp
Hand Tools,Trowels,Trowels,https://www.columbiatools.com/columbia-tools/hand-tools/columbia-mud-pans-3/,7,https://www.columbiatools.com/wp-content/uploads/2025/03/1422gsuperflex-scaled.png,hand-tools/columbia-mud-pans-3/columbia-mud-pans-3_07.png,786832,acb8f7e48e24eeba316f2b90206557fa25a0382baebfb08149906116ead2b5cb,image/png,12-4.7-0.7-G-C,"Columbia Trowels - 12"" GOLD FINISHING TROWEL (12-4.7-0.7-G-C)",family_extra_attached_to_first_assigned_sku,hand-tools/columbia-mud-pans-3/columbia-trowels-12-inch-gold-finishing-trowel-12-4.7-0.7-G-C-07.webp
Hand Tools,Trowels,Trowels,https://www.columbiatools.com/columbia-tools/hand-tools/columbia-mud-pans-3/,8,https://www.columbiatools.com/wp-content/uploads/2025/03/1422silvercurved-scaled.png,hand-tools/columbia-mud-pans-3/columbia-mud-pans-3_08.png,904869,438357126fa483a86b48bbadc9465c92276b4dc4c8257869b9bfb8f12bd59fbe,image/png,12-4.7-0.7-G-C,"Columbia Trowels - 12"" GOLD FINISHING TROWEL (12-4.7-0.7-G-C)",family_extra_attached_to_first_assigned_sku,hand-tools/columbia-mud-pans-3/columbia-trowels-12-inch-gold-finishing-trowel-12-4.7-0.7-G-C-08.webp
Hand Tools,Trowels,Trowels,https://www.columbiatools.com/columbia-tools/hand-tools/columbia-mud-pans-3/,9,https://www.columbiatools.com/wp-content/uploads/2025/03/1622gproflex-scaled.png,hand-tools/columbia-mud-pans-3/columbia-mud-pans-3_09.png,921843,095f1ff9ded75d6306b3ddcdd66faca576ef27b1f7d05fc0e2c9d7572cd77514,image/png,12-4.7-0.7-G-C,"Columbia Trowels - 12"" GOLD FINISHING TROWEL (12-4.7-0.7-G-C)",family_extra_attached_to_first_assigned_sku,hand-tools/columbia-mud-pans-3/columbia-trowels-12-inch-gold-finishing-trowel-12-4.7-0.7-G-C-09.webp
Hand Tools,Trowels,Trowels,https://www.columbiatools.com/columbia-tools/hand-tools/columbia-mud-pans-3/,10,https://www.columbiatools.com/wp-content/uploads/2025/03/1822-scaled.png,hand-tools/columbia-mud-pans-3/columbia-mud-pans-3_10.png,1024934,7786548fdde04a272b4474d3bc5b0686e8b689b6c5c7a13ff7c456ca0a61aaa3,image/png,12-4.7-0.7-G-C,"Columbia Trowels - 12"" GOLD FINISHING TROWEL (12-4.7-0.7-G-C)",family_extra_attached_to_first_assigned_sku,hand-tools/columbia-mud-pans-3/columbia-trowels-12-inch-gold-finishing-trowel-12-4.7-0.7-G-C-10.webp
Hand Tools,Bucket Scoops,Bucket Scoops,https://www.columbiatools.com/columbia-tools/hand-tools/three-way-knives-copy/,1,https://www.columbiatools.com/wp-content/uploads/2025/11/7-scaled.png,hand-tools/three-way-knives-copy/three-way-knives-copy_01.png,934793,be168c4bbb48dc893a7d5ca84cccef94751c3aa043161285b38ecf75accb2150,image/png,OPBS,Columbia Bucket Scoops - One Piece Bucket Scoop (OPBS),first_candidate_fallback,hand-tools/three-way-knives-copy/columbia-bucket-scoops-one-piece-bucket-scoop-OPBS-01.webp
Hand Tools,Bucket Scoops,Bucket Scoops,https://www.columbiatools.com/columbia-tools/hand-tools/three-way-knives-copy/,2,https://www.columbiatools.com/wp-content/uploads/2025/11/OB8A0261-scaled.png,hand-tools/three-way-knives-copy/three-way-knives-copy_02.png,732193,4b4c633ba0028f12d39ffca84b9682720657b63926544d5dd8c7d860827e6e70,image/png,OPBS,Columbia Bucket Scoops - One Piece Bucket Scoop (OPBS),family_extra_attached_to_first_assigned_sku,hand-tools/three-way-knives-copy/columbia-bucket-scoops-one-piece-bucket-scoop-OPBS-02.webp
Hand Tools,Bucket Scoops,Bucket Scoops,https://www.columbiatools.com/columbia-tools/hand-tools/three-way-knives-copy/,3,https://www.columbiatools.com/wp-content/uploads/2025/11/OB8A0403-scaled.png,hand-tools/three-way-knives-copy/three-way-knives-copy_03.png,706218,87d504cc173435308c7e1f9d69355bd1d99b305b5881b1335812317416f32964,image/png,OPBS,Columbia Bucket Scoops - One Piece Bucket Scoop (OPBS),family_extra_attached_to_first_assigned_sku,hand-tools/three-way-knives-copy/columbia-bucket-scoops-one-piece-bucket-scoop-OPBS-03.webp
Hand Tools,Bucket Scoops,Bucket Scoops,https://www.columbiatools.com/columbia-tools/hand-tools/three-way-knives-copy/,4,https://www.columbiatools.com/wp-content/uploads/2025/11/IMG_8996-copy-scaled.png,hand-tools/three-way-knives-copy/three-way-knives-copy_04.png,1653201,0c36c38327d61572be30552fc1c0160588616b7a083b0b80d89549c6c084c332,image/png,OPBS,Columbia Bucket Scoops - One Piece Bucket Scoop (OPBS),family_extra_attached_to_first_assigned_sku,hand-tools/three-way-knives-copy/columbia-bucket-scoops-one-piece-bucket-scoop-OPBS-04.webp
Automatic Tapers,Columbia One Predator Taper,Columbia One Predator Taper,https://www.columbiatools.com/columbia-tools/automatic-tapers/columbia-one-predator-taper/,1,https://www.columbiatools.com/wp-content/uploads/2022/03/predatorfull.jpg,automatic-tapers/columbia-one-predator-taper/columbia-one-predator-taper_01.jpg,101972,558d6aa8691079d38f91f331734c3c3a9f0d90857933ba94e864c8a6da4bdc5a,image/jpeg,PTAPER,Columbia One Predator Taper (PTAPER),single_candidate,automatic-tapers/columbia-one-predator-taper/columbia-one-predator-taper-PTAPER-01.webp
