image,matched,prod_part_number,prod_name,prod_brand,schem_part_id,schem_part_sku,schem_part_name,schem_source
059018,yes,,,,"059018","059018","#6-32 Locknut","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\88TTR_SCH_hotspots\schematic_data.json"
059020,yes,,,,"26","059020","Screw, 6-32x3/8, BdH, SST","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\13TT_SCH_hotspots\schematic_data.json"
059057,yes,,,,"059057","059057","Screw 4-40 x 3/16 Bind Hd. S.S","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\NS02TT_SCH_hotspots\schematic_data.json"
059074,yes,,,,"059074","059074","Stopnut, 8-32 Hex, Elas., S.S.","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\NS02TT_SCH_hotspots\schematic_data.json"
059102,yes,,,,"27","059102","Screw, 4-40x1/4, FH, SST","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\13TT_SCH_hotspots\schematic_data.json"
059143,yes,,,,"059143","059143","Cotter Pin 1/16 X 1/2 SST.","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\88TTR_SCH_hotspots\schematic_data.json"
059156,yes,,,,"059156","059156","#4-40 x 5/16 Binding Head Screw","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\88TTR_SCH_hotspots\schematic_data.json"
059225,yes,,,,"059225","059225","Nut 10-32 Elastic","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\NS02TT_SCH_hotspots\schematic_data.json"
130002,yes,,,,"19","130002","Clip, Long","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\13TT_SCH_hotspots\schematic_data.json"
209030,yes,,,,"35","209030","Wing Nut, 10-24, SST.","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\73TT_SCH_hotspots\schematic_data.json"
209042,yes,,,,"209042","209042","#10 Brass Washer","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\NS02TT_SCH_hotspots\schematic_data.json"
209755,yes,,,,"209755","209755","Screw, 6-32 x 1/2 Flat Hd","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\NS02TT_SCH_hotspots\schematic_data.json"
359005,yes,,,,"359005","359005","Screw: 6-32 X 1/4 Bind Hd.","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\NS02TT_SCH_hotspots\schematic_data.json"
400023F,yes,,,,"34","400023F","Ball Retainer","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\13TT_SCH_hotspots\schematic_data.json"
402002F,yes,,,,"17","402002F","Spring Retainer","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\13TT_SCH_hotspots\schematic_data.json"
402006,yes,,,,"41","402006","Insert Socket","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\13TT_SCH_hotspots\schematic_data.json"
409011,yes,,,,"30","409011","Skid","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\13TT_SCH_hotspots\schematic_data.json"
409021,yes,,,,"33","409021","Spring","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\13TT_SCH_hotspots\schematic_data.json"
450005,yes,,,,"32","450005","Frame Tension Spring","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\13TT_SCH_hotspots\schematic_data.json"
450009F,yes,,,,"31","450009F","Blade, 3""","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\13TT_SCH_hotspots\schematic_data.json"
450021,yes,,,,"39","450021","Blade Tension Spring","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\13TT_SCH_hotspots\schematic_data.json"
499023,yes,,,,"23","499023","Screw, 4-40x3/16, FH, SST","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\13TT_SCH_hotspots\schematic_data.json"
499024,yes,,,,"24","499024","Washer, 0.188ID, 0.380D, SST","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\13TT_SCH_hotspots\schematic_data.json"
499025,yes,,,,"25","499025","Screw, 6-32x1/2, BdH, SST","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\13TT_SCH_hotspots\schematic_data.json"
509010,yes,,,,"29","509010","Screw, 4-40x5/16, FH, SST","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\13TT_SCH_hotspots\schematic_data.json"
600005F,yes,,,,"600005F","600005F","Blade, Carbide, 2"" N.S.","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\NS02TT_SCH_hotspots\schematic_data.json"
600007,yes,,,,"600007","600007","2"" Skid","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\NS02TT_SCH_hotspots\schematic_data.json"
600022,yes,,,,"600022","600022","Connector","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\NS02TT_SCH_hotspots\schematic_data.json"
602029F,yes,,,,"602029F","602029F","Rivet, Special","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\NS02TT_SCH_hotspots\schematic_data.json"
602035,yes,,,,"602035","602035","Adjustable Stop","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\NS02TT_SCH_hotspots\schematic_data.json"
602045F,yes,,,,"602045F","602045F","Special Washer","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\NS02TT_SCH_hotspots\schematic_data.json"
604036,yes,,,,"604036","604036","Blade Clamp Assy","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\NS02TT_SCH_hotspots\schematic_data.json"
609008,yes,,,,"609008","609008","Screw 4-40 X 1/2 Flat Hd. S.S.","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\NS02TT_SCH_hotspots\schematic_data.json"
609011,yes,,,,"609011","609011","Screw, Rnd. Hd. S.S.","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\NS02TT_SCH_hotspots\schematic_data.json"
609012,yes,,,,"609012","609012","Stopnut 4-40 S.S","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\NS02TT_SCH_hotspots\schematic_data.json"
