Import complete! 1,006 products imported. Failed to import 547 products. View import log. File uploaded: product-wp-catalog-0ogwfch8bh.csv
Product	Reason for failure
Asgard 10" Flat Box (EZ10-AD), SKU EZ10-AD	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez10-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez10-ad_01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez10-ad_02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez10-ad_03.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez10-ad_04.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez10-ad_05.webp. Error: Not Found
Asgard 10" MaxxBox Finishing Box (EHC10-AD), SKU EHC10-AD	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ehc10-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ehc10-ad_01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ehc10-ad_02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ehc10-ad_03.webp. Error: Not Found
Asgard 10" Power Assist Finishing Box (PA10-AD), SKU PA10-AD	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pa10-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pa10-ad_01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pa10-ad_02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pa10-ad_03.webp. Error: Not Found
Asgard 10" and 12" Flat Box Combo Set (AGFLATEXT), SKU AGFLATEXT	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/agflatext.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/agflatext_01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez10-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez12-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/lp01-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/fbhe-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/fa01-ad.webp. Error: Not Found
Asgard 12" Flat Box (EZ12-AD), SKU EZ12-AD	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez12-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez12-ad_01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez12-ad_02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez12-ad_03.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez12-ad_04.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez12-ad_05.webp. Error: Not Found
Asgard 12" Power Assist Finishing Box (PA12-AD), SKU PA12-AD	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pa12-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pa12-ad_01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pa12-ad_02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pa12-ad_03.webp. Error: Not Found
Asgard 2.5" Angle Head (AH25-AD), SKU AH25-AD	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah25-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah25-ad_01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah25-ad_02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah25-ad_03.webp. Error: Not Found
Asgard 3" Angle Head (AH30-AD), SKU AH30-AD	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah30-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah30-ad_01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah30-ad_02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah30-ad_03.webp. Error: Not Found
Asgard 3" Nail Spotter (NS03-AD), SKU NS03-AD	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ns03-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ns03-ad_01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ns03-ad_02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ns03-ad_03.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ns03-ad_04.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ns03-ad_05.webp. Error: Not Found
Asgard 3.5" Angle Head (AH35-AD), SKU AH35-AD	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah35-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah35-ad_01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah35-ad_02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah35-ad_03.webp. Error: Not Found
