Import complete! 2,874 products updated. 767 products were skipped. Failed to import 181 products. View import log. File uploaded: product-wp-catalog-x4aksntfxl.csv
Product	Reason for failure
#10 Belleville Washer (FA280), SKU FA280	No matching product exists to update.
#10 X 11/16 Flat Washer (FFB21), SKU FFB21	No matching product exists to update.
#4 Flat Washer (CT167), SKU CT167	No matching product exists to update.
#4 Lock Washer (FA205), SKU FA205	No matching product exists to update.
#6 Belleville Washer (FA221), SKU FA221	No matching product exists to update.
#8 Belleville Washer (FA278), SKU FA278	No matching product exists to update.
1/4 Flat Washer (FA348), SKU FA348	No matching product exists to update.
1/4-20 Nyloc Nut (FA347), SKU FA347	No matching product exists to update.
1/4-20 X 1" Hex Bolt (FA323), SKU FA323	No matching product exists to update.
10" Heavy Flat Box Body (HFFB1-10), SKU HFFB1-10	No matching product exists to update.
10" Heavy Flat Box Body 1A (HFFB1A-10), SKU HFFB1A-10	No matching product exists to update.
10" Heavy Flat Box Door (HFFB4-10), SKU HFFB4-10	No matching product exists to update.
10-24 x 1 Flat Head Screw (FA363), SKU FA363	No matching product exists to update.
10-24 x 1/4 Set Screw (FA324), SKU FA324	No matching product exists to update.
10-24 x 3/4 Flat Head Screw (FA362), SKU FA362	No matching product exists to update.
10-24 X 5/8" Flat Head Screw (CT173), SKU CT173	No matching product exists to update.
10-32 x 1/4 Flat Head Screw (FA374), SKU FA374	No matching product exists to update.
2" Nail Spotter Blade (HNS7-2), SKU HNS7-2	No matching product exists to update.
2.5" Combo Flusher (COL2.5CSF), SKU COL2.5CSF	No matching product exists to update.
2.5" Direct Flusher (COL2.5DF), SKU COL2.5DF	No matching product exists to update.
2.5" Standard Flusher (COL2.5SF), SKU COL2.5SF	No matching product exists to update.
3 ft Box Handle 8" (BH8-3), SKU BH8-3	No matching product exists to update.
3 ft Box Handle 9" (BH9-3), SKU BH9-3	No matching product exists to update.
3" Combo Flusher (COL3CSF), SKU COL3CSF	No matching product exists to update.
3" Direct Flusher (COL3DF), SKU COL3DF	No matching product exists to update.
3" Nail Spotter Blade (HNS7-3), SKU HNS7-3	No matching product exists to update.
3" Standard Flusher (COL3SF), SKU COL3SF	No matching product exists to update.
3" Widetrack Direct Flusher (COL3WTDF), SKU COL3WTDF	No matching product exists to update.
3" Widetrack Standard Flusher (COL3WTSF), SKU COL3WTSF	No matching product exists to update.
3.5" Direct Flusher (COL3.5DF), SKU COL3.5DF	No matching product exists to update.
3.5" Standard Flusher (COL3.5SF), SKU COL3.5SF	No matching product exists to update.
4-40 X 1/2" Fill. Head Screw (FA219), SKU FA219	No matching product exists to update.
48" 180-Grip Bent Flat Box Handle (4BBH), SKU 4BBH	No matching product exists to update.
5/16-18 X 3/4" Thumb Screw (CFB10), SKU CFB10	No matching product exists to update.
6-32 x 1/4 Flat Head Screw (FA377), SKU FA377	No matching product exists to update.
6-32 x 1/4 Set Screw (FA S26), SKU FA S26	No matching product exists to update.
6-32 x 3/16 Binder Slot Screw (FA237), SKU FA237	No matching product exists to update.
6-32 x 3/8 Set Screw (FA272), SKU FA272	No matching product exists to update.
6-32 x 5/16 Pan Head Screw (FA271), SKU FA271	No matching product exists to update.
8-32 Nyloc Jam Nut (FA255), SKU FA255	No matching product exists to update.
8-32 Nyloc Nut (FA365), SKU FA365	No matching product exists to update.
8-32 x 1/4 Pan Head Screw (FA327), SKU FA327	No matching product exists to update.
8-32 X 3/4" Pan Head Screw (CT170), SKU CT170	No matching product exists to update.
8-32 x 3/8 Pan Head Screw (FA366), SKU FA366	No matching product exists to update.
8-32 x 5/8 Hex Bolt (FA364), SKU FA364	No matching product exists to update.
Adaptor (MP34), SKU MP34	No matching product exists to update.
Adjuster Spring (7,8,10) (FFB11), SKU FFB11	No matching product exists to update.
Angle Head Frame Clamp (AH22), SKU AH22	No matching product exists to update.
Angle Head Frame Retaining Pin (AH23), SKU AH23	No matching product exists to update.
Angle Head Hinge Spacer (AH21), SKU AH21	No matching product exists to update.
Angle Head Pivot Pin (AH20), SKU AH20	No matching product exists to update.
Automatic Box Air Valve Body (AB42), SKU AB42	No matching product exists to update.
Automatic Box Air Valve O-Ring (AB48), SKU AB48	No matching product exists to update.
Automatic Box Air Valve Seat (AB40), SKU AB40	No matching product exists to update.
Automatic Box Air Valve Stem (AB41), SKU AB41	No matching product exists to update.
Automatic Box Clutch Spring (AB44), SKU AB44	No matching product exists to update.
Automatic Box Clutch Spring Long (AB44B), SKU AB44B	No matching product exists to update.
Automatic Box Clutch Spring Short (AB44A), SKU AB44A	No matching product exists to update.
Automatic Box Handle Mount (AB49), SKU AB49	No matching product exists to update.
Automatic Box Throttle Housing (AB43), SKU AB43	No matching product exists to update.
Automatic Box Throttle Pin (AB46), SKU AB46	No matching product exists to update.
Columbia "Sawed Off" Mini Automatic Taper (STAPER), SKU STAPER	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/staper_0.webp. Error: Not Found
Columbia #8 Flat Washer (FA253), SKU FA253	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/fa253_0.webp. Error: Not Found
Columbia 1/4-20 X 1-1/2" Hex Bolt (805865-A), SKU 805865-A	Invalid image: Sorry, you are not allowed to upload this file type.
Automatic Box Throttle Set Screw (AB45), SKU AB45	No matching product exists to update.
Automatic Box Thumb Valve (AB47), SKU AB47	No matching product exists to update.
Axle 7" (HFFB5-7), SKU HFFB5-7	No matching product exists to update.
Axle for ICATW (ICATW2), SKU ICATW2	No matching product exists to update.
Ball Holder Release Clip Angle Head (AH6A), SKU AH6A	No matching product exists to update.
Barrel Main Body 24" (CMT1-24), SKU CMT1-24	No matching product exists to update.
Bearing Shaft (CT106), SKU CT106	No matching product exists to update.
Blade Holder 2" (HNS8-2"), SKU HNS8-2"	No matching product exists to update.
Blade Holder 2" (NS6-2), SKU NS6-2	No matching product exists to update.
Blade Holder 3" (HNS8-3”), SKU HNS8-3”	No matching product exists to update.
Blade Holder 3" (NS6-3), SKU NS6-3	No matching product exists to update.
Blade Holder Inserts (NS6A), SKU NS6A	No matching product exists to update.
Body for ICATW (ICATW1), SKU ICATW1	No matching product exists to update.
Box Handle Cam Follower - (BH7), SKU BH7	No matching product exists to update.
Box Handle Door Clip Assembly (BH24A), SKU BH24A	No matching product exists to update.
Cable Guide Pulley (CT84A), SKU CT84A	No matching product exists to update.
Cable Retaining Nut (CT109), SKU CT109	No matching product exists to update.
Cam Lock Tube Cam Body (CLT13), SKU CLT13	No matching product exists to update.
Cam Lock Tube End Cap (CLT16), SKU CLT16	No matching product exists to update.
Cam Lock Tube Locking Pin (CLT14), SKU CLT14	No matching product exists to update.
Cam Lock Tube Locking Sleeve (CLT12), SKU CLT12	No matching product exists to update.
Cam Lock Tube Return Spring (CLT15), SKU CLT15	No matching product exists to update.
Cam-Lock Cover Plate Assembly (CTA87-CL), SKU CTA87-CL	No matching product exists to update.
Cap Reinforcing Tab (CT35), SKU CT35	No matching product exists to update.
Carbide Blade 2-1/2" (AH3-2.5), SKU AH3-2.5	No matching product exists to update.
Carbide Blade 3-1/2" (AH3-3.5), SKU AH3-3.5	No matching product exists to update.
Carriage Cam (CT32), SKU CT32	No matching product exists to update.
Carriage Guide Rod (CT55), SKU CT55	No matching product exists to update.
Carriage Guide Rod Stop (CT56), SKU CT56	No matching product exists to update.
Chain Tension & Guide Bracke (CT31), SKU CT31	No matching product exists to update.
Clutch Dog (CT83), SKU CT83	No matching product exists to update.
Clutch Release Shaft (CT85), SKU CT85	No matching product exists to update.
Clutch Return Spring (CT81), SKU CT81	No matching product exists to update.
Columbia #6 Star Washer (FA227), SKU FA227	No matching product exists to update.
Columbia #8 Lock Washer (FA28), SKU FA28	No matching product exists to update.
Columbia 1/16 x 1/2" Split Pin (FA202), SKU FA202	No matching product exists to update.
Columbia 1/4 Star Washer (FA346), SKU FA346	No matching product exists to update.
Columbia 1/4 x 1/4 Roll Pin (FA345), SKU FA345	No matching product exists to update.
Columbia 1/4 x 5/8 Split Pin (FA287), SKU FA287	No matching product exists to update.
Columbia 1/4-20 x 1-1/2 Hex Bolt (FA299), SKU FA299	No matching product exists to update.
Columbia 1/4-20 x 1-1/4 Socket Head (FA340), SKU FA340	No matching product exists to update.
Columbia 1/4-20 x 1-3/4 Hex Bolt (FA341), SKU FA341	No matching product exists to update.
Columbia 1/4-20 x 2-1/2 Hex Bolt (FA301), SKU FA301	No matching product exists to update.
Columbia "Sawed Off" Mini Automatic Taper (STAPER), SKU STAPER	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/staper_0.webp. Error: Not Found
Columbia #8 Flat Washer (FA253), SKU FA253	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/fa253_0.webp. Error: Not Found
Columbia 1/4-20 X 1-1/2" Hex Bolt (805865-A), SKU 805865-A	Invalid image: Sorry, you are not allowed to upload this file type.
Columbia 1/4-28 X 1/4in Set Screw (FA302), SKU FA302	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/fa302_0.webp. Error: Not Found
Columbia 10" Inside Track Fat Boy Flat Box (10ITFB), SKU 10ITFB	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/10itfb_0.webp. Error: Not Found
Columbia 12" Fat Boy Automatic Assist Drywall Flat Box (12FBBA), SKU 12FBBA	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/12fbba_0.webp. Error: Not Found
Cam-Lock Cover Plate Assembly (CTA87-CL), SKU CTA87-CL	No matching product exists to update.
Cap Reinforcing Tab (CT35), SKU CT35	No matching product exists to update.
Carbide Blade 2-1/2" (AH3-2.5), SKU AH3-2.5	No matching product exists to update.
Carbide Blade 3-1/2" (AH3-3.5), SKU AH3-3.5	No matching product exists to update.
Carriage Cam (CT32), SKU CT32	No matching product exists to update.
Carriage Guide Rod (CT55), SKU CT55	No matching product exists to update.
Carriage Guide Rod Stop (CT56), SKU CT56	No matching product exists to update.
Chain Tension & Guide Bracke (CT31), SKU CT31	No matching product exists to update.
Clutch Dog (CT83), SKU CT83	No matching product exists to update.
Clutch Release Shaft (CT85), SKU CT85	No matching product exists to update.
Clutch Return Spring (CT81), SKU CT81	No matching product exists to update.
Columbia #6 Star Washer (FA227), SKU FA227	No matching product exists to update.
Columbia #8 Lock Washer (FA28), SKU FA28	No matching product exists to update.
